Discipline,Effect,Description
Social Psychology,Handedness differences - sexual orientation,"* **Handedness differences - sexual orientation. **Intrauterine testosterone levels may determine both handedness and sexuality, with homosexuals having an increased rate of left-handedness."
Social Psychology,Handedness differences - twins,* **Handedness differences - twins. **Handedness differences between twins and singletons. Twins have been suggested to show increased rates of  left handedness compared to singletons.​
Social Psychology,Handedness differences - sex,* **Handedness differences - sex. **Handedness differences between men and women. Men have been suggested to show increased rates of left-handedness compared to women.
Social Psychology,Overlooking of subtractive change,"* **Overlooking of subtractive change. **People systematically default to searching for additive transformations, and consequently overlook subtractive transformations. A tendency to generate and/or select additive ideas over subtractive ones."
Social Psychology,Heterogeneity reduces perceived quantity,"Sets of multiple colourful or different objects (e.g., stars, squares, triangles) seem less with respect to their quantity than the same sets that consist of only one type of object (e.g., only red triangles)."
Social Psychology,Eye movement and false memories,* **Eye movements and false memories. **Lateral eye movements increase false memory rates.
Social Psychology,Gaze-liking effect,"People are more likely to rate objects as more likeable when they have seen a person repeatedly gaze toward, as opposed to away from the object."
Social Psychology,Phonological working memory impairment in dyslexic adults,"Dyslexic individuals show lower scores on phonological working memory, using a nonword repetition task. ​"
Social Psychology,Phonological monitoring impairment in dyslexic adults,"* **Phonological monitoring impairment in dyslexic adults**, dyslexic show lower scores on phonological monitoring than neurotypical adults. ​"
Social Psychology,Phonological awareness impairment in dyslexic adults,Dyslexic show lower scores on phonological awareness than neurotypical adults.
Social Psychology,Phonemic fluency impairment in dyslexic adults,"Dyslexic adults show lower scores on phonemic fluency tasks than neurotypical adults. Phonemic fluency tasks are a type of verbal fluency task, where people are asked to generate as many words as possible according to a specific criterion relating to phonemes, for instance words starting with the letter ‘M’."
Social Psychology,Semantic fluency impairment in dyslexic adults,"Dyslexic adults show lower scores on semantic fluency than neurotypical adults. Semantic fluency tasks are a type of verbal fluency task, where people are asked to generate as many words as possible according to a specific criterion, for instance items that are part of the same category, such as foods."
Social Psychology,Lexical precision on lexical competition,* **Lexical precision lexical competition. **The direction and magnitude of inhibitory priming in word targets with dense neighbourhoods is moderated by spelling.
Social Psychology,Placebo effect,"* **Placebo Effect. **Refers to the phenomenon in which a treatment or intervention that has no specific therapeutic effect (such as a sugar pill or saline injection) can still produce a therapeutic response in some individuals. The concept of the placebo effect can be traced back to the 18th century, when physicians and researchers began to notice that patients often reported improvements in their symptoms after receiving treatments that did not have any known physiological effects."
Social Psychology,Placebo empathy analgesia,Downregulating first-hand pain perception via placebo analgesia (administration of an inert treatment such as a sugar pill)​ also dampens empathy for another person in pain.
Social Psychology,Nocebo effect,* **Nocebo effect. **This phenomenon is said to occur when negative expectations of an individual about an experience (e.g. a medical treatment) cause the experience to have a more negative effect than it would have otherwise.
Social Psychology,Stroop effect,"* **Stroop Effect. **A phenomenon in which it takes longer to name the ink colour of a word when the word itself is a colour name that is different from the ink colour (e.g. the word ""red"" printed in blue ink). The Stroop effect is considered a classic demonstration of the interference between different types of information processing."
Social Psychology,Disfluency effect,"Disfluency, the subjective experience of difficulty associated with cognitive operations, leads to deeper cognitive processing. If information is processed with difficulty or disfluently (e.g. when written in hard-to-read fonts), this experience serve as a cue that the task is difficult or that one’s intuitive (System 1) response is likely to be wrong, thereby activating more elaborate (System 2) processing, resulting in more positive cognitive outcomes.​"
Social Psychology,Retrieval-induced forgetting,* **Retrieval-induced forgetting **(RIF). Forgetting of some items is in part a consequence of remembering other items.
Social Psychology,Mood-dependent retrieval,"* **Mood-dependent retrieval **(mood-dependent memory, state dependent memory, encoding specificity). Memory is enhanced when an individual’s mood (i.e., emotional state) at retrieval matches their mood at encoding."
Social Psychology,Positive emotions broaden scope of attention,People experiencing positive emotions exhibit broader scopes of attention than do people experiencing no particular emotion.
Social Psychology,Emotional information facilitates response inhibition,"Response inhibition refers to suppression of prepotent responses which are inappropriate to current task demands. In the lab setting, this is investigated with a stop signal task. The effect showed that both fearful and happy faces as stop signals facilitated response inhibition relative to neutral ones."
Social Psychology,Inhibition-induced devaluation,"* **Inhibition induced devaluation.** Inhibition-induced devaluation refers to reduced response to stimuli which were previously inhibited. This effect results in participants bidding less for shapes that were paired with stop-signals, giving less trustworthiness rating for faces previously paired with stop signals. This effect has several implications for behaviour modification techniques."
Social Psychology,Inhibition induced forgetting,* **Inhibition induced forgetting.** Inhibition-induced forgetting refers to impaired memory for the stimuli to which responses were inhibited.
Social Psychology,Semantic Richness Effects in Lexical-Semantic Processing: Body-object Interaction Effect,"* **Body-object interaction (BOI) effect in lexical-semantic processing.** Words that have higher ratings on the BOI measure receive faster responses (RTs) in lexical-semantic tasks (e.g., lexical decision, semantic decision). The BOI quantifies the ease with which the human body can physically interact with a word’s referent. The BOI effect is thought to show that sensorimotor information contributes to word meaning, providing support for embodied theories of semantic representation."
Social Psychology,False memory implantation,"* **False memory implantation (false memory fabrication). **People fabricate false memories after the suggestion that it happened. After discussing their memories with a researcher, participants reported a false memory."
Social Psychology,Serial dependence,"Serial dependence describes a visual bias that a reported item (e.g., orientation) is systematically attracted towards the previous reported item."
Social Psychology,Modality-switching cost,"* **Modality-switching cost** (modality switch effect). When verifying object properties, processing is slowed when the modality being processed is different from the modality processed in the preceding trial. The presence of the switching cost suggests that people represent semantic information in a modality-specific, rather than amodal or abstract, manner.​"
Social Psychology,Tactile Disadvantage,"* **Tactile Disadvantage **(conceptual tactile disadvantage). Participants find it more difficult and are slower to process words strongly related to the tactile modality (e.g., _sticky_), compared to processing words from other modalities (visual, auditory etc.). The presence of this conceptual tactile disadvantage mirrors a similar disadvantage observed in perceptual processing, where tactile stimuli are slower and more difficult to process than visual or auditory stimuli.​"
Social Psychology,Perceptual strength in lexical processing,* **Perceptual strength in lexical processing **(visual lexical decision task). Concepts that are rated as being more strongly linked to perceptual experience are processed more quickly than those more weakly linked to perceptual experience. This pattern suggests a sensory basis for conceptual representations.​
Social Psychology,Semantic richness in lexical processing,"* **Semantic richness in lexical processing **(visual lexical decision task). Concepts that are associated with a larger amount of semantic information (e.g., larger number of features, greater semantic neighbourhood density) are processed more quickly in tasks that require semantic processing. This pattern suggests that richer semantic representations (i.e., more semantic information) facilitate semantic processing."
Social Psychology,Temporal doppler effect,Subjective perception that the past is further away than the future.
Social Psychology,Contextual cueing,"Compared to novel contexts (i.e., spatial arrangements), repeated contexts yield faster response times in visual search without consciously recognizing the context as repeated."
Social Psychology,Search initiation effect,"In a repeated search task, the very first search takes substantially longer than all subsequent searches, implying that most information is processed and learned during the first search which can then be used to guide subsequent searches efficiently.​"
Social Psychology,Attentional blink,"The attentional blink describes the phenomenon that in a rapid serial visual presentation ​of items, humans show a reduced ability to detect the second of two targets among distractors if the second target follows after approximately 200ms – 500ms after the first target. This effect is interpreted as displaying one of the limitations of human visual processing."
Social Psychology,Emotional attentional blink,"* **Emotional attentional blink** (emotion-induced blindness). Similar to the attentional blink, a target among distractors in a rapid serial visual presentation of images is missed, if it was preceded by an emotionally arousing image. Importantly and in contrast to the attentional blink phenomenon, the emotionally ​arousing image is task-irrelevant."
Social Psychology,Growth mindset,* **Growth mindset.** Thinking that skill is improvable on attainment.
Social Psychology,"Expertise attained after 10,000 hours practice","The notion that it takes around 10,000 hours of practice to become an expert in a particular field or domain. Specifically, that deliberate practice explains from most to all of the variance in (expert) performance in sports."
Social Psychology,Tailoring to learning styles,* **Tailoring to learning styles.** Tailoring teaching to students’ preferred learning styles has any effect on objective measures of attainment.
Social Psychology,Neonate imitation,Babies are born with the ability to imitate.
Social Psychology,Violent media content on aggression,"Violence content in media can affect people to be more aggressive. Notably, the studies of this effect differ by media (TV, games, etc.) and whether long, medium, or short-term effects have been investigated. The variety of methods/tests further complicates the literature. Distinct media types are marked for each reference below."
Social Psychology,Mutual exclusivity bias,"When presented with two objects, one of which has a known label and one which does not, infants (by ~20mo) are more likely to choose the object without a known label when prompted with a novel label."
Social Psychology,Mutual exclusivity bias - bilinguals,* **Mutual exclusivity bias in bilinguals**. Bilingual (and multilingual) infants exhibit delayed and/or lower mutual exclusivity bias than monolingual infants.
Social Psychology,Abstract rule learning,"After training on strings on stimuli generated from a particular repetition pattern (e.g., AAB), young infants attend longer to novel stimuli generated from a novel pattern (e.g., ABA) than novel stimuli generated from the original pattern."
Social Psychology,Theory of mind – below-4 year olds,* **Theory of mind in below-4 year olds **(false belief). Children under four years of age fail at theory of mind tasks.
Social Psychology,Theory of mind – over development,* **Theory of mind over development** (false belief). Success rate at theory of mind tasks increases over age within the first 6 years of life.
Social Psychology,Preference for prosocial agents,Infants and toddlers prefer prosocial agents over neutral or antisocial agents.
Social Psychology,Flynn effect,The observed rise over time in standardised intelligence test scores in the successive versions of Stanford-Binet and Wechsler intelligence tests. This effect points toward an increase in “intelligence” in the next generation compared to the previous generation.
Social Psychology,Do children overhear to learn new words?,* **Do children overhear to learn new words?** Children were equally good at learning novel words- when they were overhearers as when they were directly addressed.
Social Psychology,2D:4D ratio of the fingers,"* **2D:4D ratio of the fingers and its correlation with psychological traits. **This ratio was used as a predictor for different interindividual (e.g., intelligence) and especially gender differences."
Social Psychology,Personality traits and consequential life outcomes,"Personality traits (i.e., characteristic patterns of thinking, feeling, or behaving that tends to be consistent over time and across relevant situations), particularly the Big Five factors, are linked with consequential individual, interpersonal, and social-institutional outcomes."
Social Psychology,Reading prevents cancer,Combining bibliotherapy and short-term individual therapy can reduce the probability of dying from cancer and may prolong lives of those already suffering from cancer.​
Social Psychology,Graphology,The analysis of handwriting with the attempt to determine someone’s personality traits.
Social Psychology,Default effect,"* **Default effect. **In a choice scenario between two alternatives, when an alternative is presented as a default option, people stick with it rather than change it. For example, 'Opt Out' default organ donation policies increase organ donations."
Social Psychology,Decoy effect,"* **Decoy effect **(alternatives: asymmetric dominance; attraction effect). The Decoy Effect is a cognitive bias in which an individual's preference between two options is influenced by the presence of a third, asymmetrically dominated  option (i.e., a decoy similar but inferior to one of the original options). Individuals are more likely to choose the option that is similar to the decoy option than if the decoy were absent. Decoy effect has been replicated in different studies and contexts, though the magnitude of the effect can vary, particularly depending on the specific features of the options being considered and the context in which the decisions are being made."
Social Psychology,Nudges,* **Nudges.** Choice architecture interventions that promote beneficial decisions.
Social Psychology,Risky choice framing effect,"* **Risky choice framing effect **(term used by Levin et al., 1998) (framing effect in risky-decision making). Under loss-frame, people are risk-seeking, whereas under gain-frame, people are risk-averse. In framing studies, logically equivalent choice situations are differently described and the resulting preferences are studied. In risky choice problems, the way a choice is presented influences the decision (e.g. saving 10 people out of 100 vs losing 90 people out of 100)."
Social Psychology,Risk and goal message framing,"* **Risk and goal message framing.** a) For illness detection behaviours, loss framing (presenting information of negative consequences with undesirable behaviours / without desirable behaviours) would be more effective than gain framing (presenting information of benefits through engaging in desirable behaviours) in encouraging healthy attitudes, intentions, and behaviours (perhaps because illness detection behaviours are riskier, Rothman and Salovey, 1997), whereas b) for health-affirming behaviours, gain framing would be more effective than loss framing in motivating healthy attitudes, intentions, behaviours (perhaps because health-affirming behaviours are less risky, Rothman and Salovey, 1997)."
Social Psychology,Status quo effect,"* **Status quo effect **(status quo bias). A cognitive bias that leads people to prefer things to stay the same, even when change may be beneficial, thus a preference for the current state of affairs"
Social Psychology,Temporal action-inaction effect,"* **Temporal action-inaction effect.** The proposed phenomenon that people associate or experience stronger regret with action compared to inaction in the short-term, but stronger regret with inaction compared to action in the long-term. ​"
Social Psychology,Money market versus goods/social market,"* **Money market versus goods/social market. **The money market relationship refers to an exchange in which effort level is determined based on the level of compensation. By contrast, the social market relationship is an exchange in which effort level is most influenced by altruistic motivations rather than the compensation level. Heyman and Ariely (2004) proposed and showed that when the former is primed with monetary compensation, the more compensation they receive, the more effort they displayed. Yet, effort level did not vary depending on the level of compensation when the latter is primed with non-monetary compensation (i.e., goods), effort level does not depend on compensation level. ​"
Social Psychology,Risk benefits negative association,* **Risk and benefit perceptions **(affect heuristic). Increasing risks of a hazard leads people to judge its benefits as lower while vice versa increasing benefits leads people to judge its risk as lower.​
Social Psychology,Temporal value asymmetry,* **Temporal value asymmetry** (TVA). The phenomenon that contemplating future events elicits stronger emotions than contemplating past events has been coined “temporal value asymmetry” (TVA).  TVA was robust in between-persons comparisons and absent in within-persons comparisons.
Social Psychology,Exceptionality effect,"* **Exceptionality effect.** (emotional amplification, normality bias, exceptional-routine effect). The affective response to an event is enhanced if its causes are abnormal. Exceptionality effect is the phenomenon that people associate stronger negative affect with a negative outcome when it is a result of an exception (abnormal behaviour) compared to when it is a result of routine (normal behaviour). The exceptionality enhances the response to an event for the emotion of regret, self-blame, the cognitive response for victim compensation and offender punishment."
Social Psychology,Temporal differences in trait self-ascriptions,"Much like how we are more likely to ascribe dispositional traits, as opposed to situational variables, when explaining the behaviour of other people compared to ourselves, the same asymmetry can also be observed when making trait assessments about our temporally distant selves (e.g. past or future). People are more likely to ascribe dispositional traits, compared to situational explanations, when making judgements about their past or future self."
Social Psychology,Bias Blind Spot,The phenomenon that people perceive stronger biases for others compared to self. Pronin (2002) found support for self-other asymmetries in perceived biases but failed to find support for self-other asymmetries in perceived personal shortcomings. Chandrashekar et al. (2021) found support for self-other asymmetries for both biases and personal shortcomings.​
Social Psychology,Hindsight Bias,Hindsight bias refers to the tendency to perceive an event outcome as more probable after being informed of that outcome.
Social Psychology,Disjunction Effect,"The sure-thing principle (STP) posits that if decision-makers are willing to make the same decision regardless of whether an external event happens or not, then decision-makers should also be willing to make the same decision when the outcome of the event is uncertain. People regularly violate the STP – uncertainty about an outcome influence decisions.​"
Social Psychology,Money Illusion,"* **Money Illusion. **The inability of individuals to account for inflation or deflation when making decisions. If inflation, money loses value over time, leading to people to fail to consider the impact of inflation or real value of money."
Social Psychology,Choosing versus rejecting,"* **Choosing versus rejecting** (Framing effects, compatibility principle). People are inconsistent in their preferences when faced with choosing versus rejecting decision-making scenarios."
Social Psychology,Conjunction bias,"* **Conjunction bias** (conjunction fallacy). The fallacy consists of judging the conjunction of two events as more likely than any of the two specific events, violating one of the most fundamental tenets of probability theory."
Social Psychology,Direct versus indirect harm,"Individuals believe that causing indirect harm is more moral than direct harm, regardless of outcomes, intentions, or self-presentational concern."
Social Psychology,Distinction bias,"* **Distinction bias.** When evaluating how happy options would make them, people who evaluated the options simultaneously predicted greater happiness for the good options and lower happiness for the bad options, whereas people who evaluated the options separately (i.e., only evaluated one option) showed little difference between the options."
Social Psychology,Inaction inertia effect,"Forgoing an offer that is less appealing, but still desirable, than a previous offer. For example, if you missed the opportunity to attend a skiing trip that was offered at £40 rather than the usual £100​, you would reject the offer of going to the same ski trip when offered for £80 rather than the usual £100."
Social Psychology,Mere ownership effect,The mere ownership effect refers to an individual's tendency to evaluate an object more favourably merely because he or she owns it.
Social Psychology,Omission Bias,"* **Omission Bias** (alternative terms: action-inaction effect). The tendency to view harmful actions as worse than inactions, despite the result being the same."
Social Psychology,Identifiable victim effect,"* **Identifiable victim effect.** Refers to the phenomenon that people are more likely to offer greater help to specific, identifiable victims than to anonymous victims."
Social Psychology,Psychophysical numbing,"* **Psychophysical numbing. **People prefer to save lives if they are a higher proportion of the total (e.g. do people prefer to save 4,500 lives out of 11,000 or 4,500 lives out of 250,000?)."
Social Psychology,Signing at the top and dishonesty,"* **Signing at the top and dishonesty. **Signing a veracity statement at the top, instead of at the end, of a form/document encourages honest reporting."
Social Psychology,Loss aversion,"* **Loss aversion.** The subjective value of losses exceeds the subjective values of gains. This phenomenon can denote a stronger preference for avoiding losses rather than acquiring gains. Loss aversion is still mostly replicable but with weaker effects for some people and in some situations (see [Mrkva et al., 2020](https://www.alexandria.unisg.ch/260559/2/jcpy.1156.pdf))."
Social Psychology,Effort heuristic,People judge products that took longer time to complete as higher in quality and monetary value.
Social Psychology,Unconscious thought advantage,"* **Unconscious thought advantage **(“deliberation-without-attention”). The idea that for complex choices (with more features to take into account), not deliberating leads to better decisions (as defined by the research team, i.e., normatively).​"
Social Psychology,Self-interest is overestimated,How much personal benefits affect policy preferences and behaviours.
Social Psychology,Marshmallow experiment,"* **Marshmallow experiment **(self-imposed delay of gratification). A child’s success in delaying the gratification of eating marshmallows or a similar treat is related to better outcomes in later life. ​Outcomes that have been studied include coping, social, and academic competence, substance use, borderline personality features, BMI, executive functioning, and neural activation patterns."
Social Psychology,Differential reinforcement of alternate behaviour (DRA),* **Differential reinforcement of alternate behaviour (DRA).** DRA procedures reduce a certain behaviour by reinforcing an appropriate alternative behaviour that serves the same function.
Social Psychology,Differential reinforcement of incompatible behaviour (DRI),* **Differential reinforcement of incompatible behaviour (DRI). **DRI** **reinforces a physically incompatible behaviour to replace the unwanted behaviour.
Social Psychology,Differential reinforcement of low rates of behaviour (DRL),* **Differential reinforcement of low rates of behaviour (DRL). **DRL is a technique in which a positive reinforcer is delivered at the end of a specific interval if a target behaviour has occurred at a criterion rate.
Social Psychology,Differential reinforcement of other behaviour (DRO),* **Differential reinforcement of other behaviour (DRO) **is a reinforcement procedure in which reinforcement is delivered for any response other than a specific target behaviour.
Social Psychology,Extinction bursts,"Extinction is an intervention procedure to reduce tantrum behaviours, by removing enforcement (eg. ignoring a child crying), and an extinction burst is a temporary increase in the frequency or intensity of that behavior."
Social Psychology,Functional communication training,"* **Functional communication training** (FCT) is a therapy for autistic children, or children with severe behaviour problems. FCT aims to replace challenging behaviour with new methods of communication."
Social Psychology,Schedules of R+,Rule that describes how often the occurrence of a behaviour will receive a reinforcement. Used as part of ABA (Applied Behaviour Analysis) in autistic individuals.
Social Psychology,Above-Average Effect,* **Above-Average Effect** (Better-Than-Average Effect). People have the tendency to perceive themselves as superior in comparison to the average peer.
Social Psychology,Below-Average Effect,The tendency of a person to underestimate their intellectual or social abilities when comparing to other people.
Social Psychology,Overconfidence,"* **Overconfidence** (“unskilled and unaware of it” effect, overplacement, overprecision, calibration of subjective probabilities, realism of confidence). It is the overestimation of one’s actual ability, performance, level of control, or chance of success in any given situation."
Social Psychology,Better-than-average effect,People tend to rate themselves as better than average on desirable traits and skills.​
Social Psychology,Accuracy of information,* **Accuracy of information **(truth discernment)**. **Asking people to think about the accuracy of a single headline improves “truth discernment” of intentions to share news headlines about COVID-19.​
Social Psychology,Resultant moral luck,The phenomenon of moral judgments being influenced by factors beyond the agent’s control that affect the outcome of their actions. Kneer and Machery (2019) claim that there is no evidence for resultant moral luck and that the puzzle of moral luck is not a genuine problem.​
Social Psychology,Incidental disgust,* **Incidental disgust** (Amplification hypothesis). Irrelevant feelings of disgust can amplify the severity of moral condemnation.
Social Psychology,Single exposure musical conditioning,"* **Single-exposure musical conditioning**. An important study, which employed classical conditioning theory, proposed that a person's preference for a product can be influenced by the type of music they hear while being exposed to it. A follow-up experiment differentiated between scenarios to see whether classical conditioning or information processing might be a better explanation for product preference."
Social Psychology,Rational expectations,* **Rational Expectations. **The extent to which participants in an experiment choose the action with the highest expected payoff based on their private signal and the choices and outcomes of previous participants.
Social Psychology,Decreased sense of free will reduces personal responsibility,"* **Decreased sense of free will reduces personal responsibility. **Vohs and Schooler (2008) asked participants to read an article either debunking free will or a control passage, and found that those reading the former cheated more on an experimental task. It was suggested that the decreased sense of free will as a result of reading the text reduced perceptions of personal responsibility."
Social Psychology,Unrealistic optimism,* **Unrealistic optimism** (Optimism bias). The tendency to overestimate the likelihood of experiencing positive outcomes and underestimating negative ones.​
Social Psychology,Miles per gallon illusion,"* **Miles per gallon illusion** (MPG illusion, kilometres per litres illusion)**. **People misperceive how much fuel and money will be saved by, because they assume fuel use increases linearly with MPG, whereas in reality, increasing by a few MPG saves much more gas at low levels of MPG (e.g., 12 to 14 MPG) compared to high levels (e.g., 30 to 32 MPG)."
Social Psychology,Certainty effect,* **Certainty effect. **The tendency to overweight the importance of an increase from 99% to 100% probability that some prospect/event will occur.
Social Psychology,Overweighting small probabilities,"People tend to overweight/overreact to changes in probability from 0 to very small probabilities. (In other words, whereas classical economic theory would suggest changing from 0% to 1% chance should have the same impact as a change from a 20% to 21% chance, people respond much more strongly to the former change.)"
Social Psychology,Positive affect increases patience,* **Positive affect increases patience. **Watching a positive affect-inducing video will increase patience in an intertemporal choice task.
Social Psychology,"Slow to anger, fast to forgive","* **Slow to anger, fast to forgive.** Adding noise/uncertainty to the reason for a person’s action leads people to be more lenient (slow to anger, quick to forgive). A secondary finding is that under these circumstances with noise/uncertainty, cooperative strategies also lead to higher payoffs (in situations with cooperative equilibria)."
Social Psychology,Isolation effect,"* **Isolation effect **(Von Restorff effect). The isolation effect occurs when people focus on differences between options rather than similarities. We not only remember the differences between two stimuli, but we also tend to give it greater weighting. For example, we notice the one single yellow that stands out in a batch of red apples."
Social Psychology,Magnitude effect,"* **Magnitude effect** (magnitude perception). People are sensitive to relative as well as absolute magnitude. Most people find the difference between $100 and $200 more meaningful than the difference between $1,100 and $1,200; the marginal value of the outcome generally scales with magnitude.​"
Social Psychology,Reflection effect,"People tend to be risk seeking when maximising gains, but risk averse when minimising losses.​ The preference between negative prospects is the mirror image of the preference between positive prospects – the reflection of prospects around 0 reveres the preference order."
Social Psychology,Unusual disease problem,"* **Unusual disease problem** (Asian disease problem). When survival is communicated (positive framing), people tend to choose an option with a certain outcome (risk averse decision). In contrast, when mortality is communicated (negative framing), people tend to choose an option with an uncertain outcome (risk-seeking decision).​"
Social Psychology,Last-place aversion,* **Last place aversion.** A phenomenon where individuals are averse to being in last place and choose gambles with the potential to move them out of last place that they reject when randomly placed in other parts of the distribution.
Social Psychology,Ikea effect,"When compared to objectively similar goods not produced by themselves, consumers place a higher value on goods they have assembled. Consumers show a higher willingness-to-pay when they assemble products themselves."
Social Psychology,Endowment effect,People are more likely to retain an object they own than acquire that same object when they do not own it. This implies that the value that an individual assigns to objects appears to increase substantially as soon as that individual is given the object.
Social Psychology,Weaker sunk costs effect for time (vs. money),"* **Sunk costs effect for time (vs. money)**. Sunk costs are where an individual’s decision making is affected by having previously committed resources that cannot be recovered (e.g., time, money, effort) to a particular choice, which then results in them being less inclined to change to an alternative choice. It has been observed that there are greater sunk costs associated with previously allocated money over previously allocated time."
Social Psychology,Choice overload,The idea that giving people too many choices can lead to certain undesirable consequences such as reduced purchasing intentions.
Social Psychology,Mate guarding,"* **Mate guarding**, Women use conspicuous luxurious goods to deter female rivals by signalling to other women they have a devoted partner."
Social Psychology,Scarcity effect - Overborrowing,* **Scarcity effect - _Overborrowing_. **Perceived financial scarcity causes consumers to overborrow.
Social Psychology,Scarcity effect - Resource allocation,* **Scarcity effect - _Resource allocation_. **Poor economic conditions favour resource allocations to daughters over sons.
Social Psychology,Scarcity effect - Planning,"* **Scarcity effect - _Planning_.** Consumers who feel resource constrained shift to engage in relatively more priority planning, rather than efficiency planning."
Social Psychology,Scarcity effect - Competition/threat,* **Scarcity effect - _Competition/threat_.** Exposure to limited-quantity promotion advertising prompts consumers to perceive other shoppers as competitive threats.
Social Psychology,Scarcity effect - Brand attitudes,* **Scarcity effect - _Brand attitudes_**. Observing luxury brand consumers whose consumption arises from unearned financial resources reduces observers’ brand attitudes when observers place a high value on fairness.​
Social Psychology,Scarcity effect - Product use creativity,* **Scarcity effect - _Product use creativity_**. Scarcity salience is associated with greater creativity.​
Social Psychology,Scarcity effect - Wage rates,* **Scarcity effect - _Wage rates_**. The difference in implied wage rates based on a time elicitation versus a money elicitation procedure is reduced as the time horizon increases.​
Social Psychology,Scarcity effect - Selfishness,* **Scarcity effect - _Selfishness_. ** Reminders of scarcity causes selfish behaviour to a greater extent in people with low social value orientation.​
Social Psychology,Scarcity effect - Preference for material goods,* **Scarcity effect - _Preference for material goods_.** Scarcity leads to a preference for material goods over experiential goods.​
Social Psychology,Scarcity effect - Preference polarisation,* **Scarcity effect - _Preference polarisation_**. Perceived scarcity leads to greater preference polarisation and stronger preference for a preferred option over a less preferred option.​
Social Psychology,Product size and status,People who are low in power choose supersized foods and drinks to signal status.
Social Psychology,Less-is-better effect,"* **Less-is-better effect. **People are willing to pay more money for a product that contains lower quantity when it looks more full, such as an overfilled ice cream cup with 7 oz rather than underfilled larger ice cream cup with 8 oz."
Social Psychology,Left digit bias,"* **Left digit bias. **The leftmost digit of a number disproportionately influences decision making. Consumers judge the difference between $4.00 and $2.99 to be larger than that between $4.01 and $3.00, even though the numeric differences are identical; it is this change in the left digit, rather than the one cent drop, that affects the magnitude perception."
Social Psychology,Sensory marketing – Brand name sounds,"* **Sensory marketing – Brand name sounds** (Sound symbolism). The sound of a brand name can communicate information about the product, e.g. its size, speed, strength, weight, etc. Hypothetical brand names including front (vs. back) vowels are associated with smallness, fastness, softness, bitterness, friendliness, and prettiness. Hypothetical brand names including back (vs. front) vowels are associated with dark color, mildness, richness, warmness, masculine, strong, and heaviness."
Social Psychology,Sensory marketing – Phonetic symbolism on brand name preference,"Particular words are preferred as brand names when the phonetic connotations of the words are consistent with the product attributes. Front vowel sounds were preferred over back vowel sounds for convertible and knife; in contrast, back vowel sounds were preferred over front vowel sounds for 4 × 4 vehicle and hammer."
Social Psychology,Sensory marketing – Color saturation and perceived product size,"The perceived size of products depends on the saturation of their color. Increasing color saturation increases size perceptions; high (vs. low) saturation increases product size estimates, attention, and arousal."
Social Psychology,"Sensory marketing – Healthy-left, unhealthy-right","*  **Sensory marketing – Healthy-left, unhealthy-right**. Displaying healthy items to the left (vs. right) of unhealthy items enhances preference for the healthy options.​ Participants tend to prefer the healthy item (broccoli salad) when it is on the left (vs. right) of the images."
Social Psychology,Sensory marketing – Brand names and evaluation of products,"* **Sensory marketing – Brand names and evaluation of products. **Phonetic structure of brand names affects a consumer’s evaluation of products and their underlying attributes.​ Brand names including back (vs. front) vowels are rated as higher in the attribute perception index (richness, smoothness, and creaminess). The diagnostic information (true name, test name) and the timing of the information provided (simultaneously, afterward) modulate the effects of brand names on the attribute perception."
Social Psychology,Sensory marketing – Visual depiction effect,"Visual product depictions within advertisements, such as the manipulation of orienting a product toward a participant’s dominant hand, facilitate purchase intention."
Social Psychology,Sensory marketing – Circular and angular logo shapes,"Circular and angular-logo shapes influence consumers’ judgement of softness-related and hardness-related product attributes. The circular logo leads to more favourable perceptions of comfortableness (the softness-related attribute), whereas the angular logo leads to more favourable perceptions of durability (the hardness-related attribute)."
Social Psychology,"Sensory marketing – Past-left, future-right effect","When consumers view advertisements in which product images are positioned congruently (incongruently) with their spatial representation of time, they have more (less) favourable attitudes toward the product.​ When participants are primed to desire a modern product, they are more favourable when it appears on the right side of the advertisement; in contrast, when participants are primed to desire an antique, they are more favourable when the product appears on the left."
Social Psychology,Sensory marketing – Logo dynamism,"Static visuals can evoke a perception of movement (i.e., dynamic imagery) and thereby affect consumer engagement and attitudes. The evoked dynamic imagery affects the level of consumer engagement with the brand logo. A logo that evokes greater perceived movement (logo dynamism) generates more favorable attitudes toward the brand."
Social Psychology,Sensory marketing – More is merrier,"The number of product units displayed on a package biases consumers' perceptions of product quantity (i.e., the number of snack items the package contains) and actual consumption. Packages with more product units displayed on the package are perceived to contain more product quantity than packages with fewer product units displayed on the package."
Social Psychology,“Brain drain” effect,"* **“Brain drain”** **effect**. The mere presence of one’s own smartphone may occupy limited-capacity cognitive resources, thereby leaving fewer resources available for other tasks and undercutting cognitive performance.​ The mere presence of these devices reduces available cognitive capacity."
Social Psychology,Goal conflict and work and leisure time spent,People who are faced with a goal conflict are (1) more likely to spend time on work and (2) less likely to spend time on leisure. This is because goal conflict increases reliance on salient justifications and work tends to be easier to justify and leisure harder to justify.
Social Psychology,Ad-type_ _effect,"* **Ad-type effect**. In advertising a desired change, progression ads (which include intermediate steps in addition to starting and ending points) foster spontaneous simulation of the process through which the change will happen, which makes these ads more credible and, in turn, more persuasive than before/after ads (include visuals of the starting and ending point of the promised change).​"
