Discipline,Effect,Description,Critique,Link,doi,Notes,Citations,N critique
Cognitive Psychology,Bilingual executive control effect - Non-verbal task switching,"Bilingual advantages in executive control - Non-verbal task switching**. The idea that bilingual language switching on a daily basis makes bilinguals better at general non-verbal task switching, compared to monolinguals who do not perform this extensive daily language switching",Stasenko et al. 2017,https://psycnet.apa.org/record/2017-30925-001,,"n1 = 80, n2 = 80,","55 (GS, January 2023)",
Cognitive Psychology,Bilingual executive control effect - Non-verbal task switching,"Bilingual advantages in executive control - Non-verbal task switching**. The idea that bilingual language switching on a daily basis makes bilinguals better at general non-verbal task switching, compared to monolinguals who do not perform this extensive daily language switching",Timmermeister et al. 2020,https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01832/full,10.3389/fpsyg.2020.01832,"n1 = 27, n2 = 27,","8 (GS, January 2023)",
Cognitive Psychology,Bilingual advantages in social communication -  Theory of mind,"Bilingual advantages - theory of mind. ** Bilingual children are more likely to score higher in Theory of Mind tasks than monolingual counterparts, using an unexpected transfer task",Dahlgren et al. 2017,https://www.tandfonline.com/doi/abs/10.1080/00221325.2017.1361376?journalCode=vgnt20,10.1080/00221325.2017.1361376?journalCode=vgnt20,"Monolinguals: n = 14, bilinguals: n = 14,","23 (GS, January 2023)",14 & 14
Cognitive Psychology,Bilingual advantages in social communication -  Theory of mind,"Bilingual advantages - theory of mind. ** Bilingual children are more likely to score higher in Theory of Mind tasks than monolingual counterparts, using an unexpected transfer task",Diaz and Farrar 2018,https://journals.sagepub.com/doi/abs/10.1177/0142723717752741,10.1177/0142723717752741,"Monolinguals: n = 33, Bilinguals: n =  32,","23 (GS, January 2023)",33 & 32
Cognitive Psychology,Bilingual advantages in social communication -  Theory of mind,"Bilingual advantages - theory of mind. ** Bilingual children are more likely to score higher in Theory of Mind tasks than monolingual counterparts, using an unexpected transfer task",Farhadian et al. 2010,https://www.tandfonline.com/doi/abs/10.1080/00221325.2017.1361376?journalCode=vgnt20,10.1080/00221325.2017.1361376?journalCode=vgnt20,"Monolinguals: n = 65, bilinguals: n = 98,","61 (GS, January 2023)",65 & 98
Cognitive Psychology,Bilingual advantages in social communication -  Theory of mind,"Bilingual advantages - theory of mind. ** Bilingual children are more likely to score higher in Theory of Mind tasks than monolingual counterparts, using an unexpected transfer task",Gordon 2016,https://www.cambridge.org/core/journals/journal-of-child-language/article/high-proficiency-across-two-languages-is-related-to-better-mental-state-reasoning-for-bilingual-children/F618A28BA95AB3FAAF200BE9CDB505B1,,"Monolinguals: n = 26, bilinguals n = 26,","24 (GS, January, 2023)",26 & 26
Cognitive Psychology,Bilingual advantages in social communication - perspective taking in referential communication,"Bilingual advantages - perspective taking in referential communication**. Bilingual children are more likely to score higher in Director tasks than monolingual counterparts, using the director task",Navarro and Conway 2021,https://journals.sagepub.com/doi/abs/10.1177/17470218211009159,10.1177/17470218211009159,"Monolingual adults: n = 26, bilinguals n = 28,","10 (GS, January, 2023)",26 & 28
Cognitive Psychology,Exposure to another language advantage in social communication - Perspective taking in referential communication,"Exposure to another language in social communication - perspective taking in referential communication**.  Children who are exposed to a second language are more likely to score higher in Director tasks than children who are not exposed to a second language, using the director task",Agostini et al. 2022,https://www.researchsquare.com/article/rs-2068113/v1,,"preprint, high exposure for monolingual children: n =32, lower exposure for monolingual children: n = 29, no exposure monolingual children: n = 38,","0 (GS, January, 2023)",32 & 29 & 38
Cognitive Psychology,Bilingual disadvantages in creativity - Fluency,"Bilingual disadvantages in creativity- fluency.** Monolinguals are more likely to rapidly produce a large number of ideas or solutions to a problem than bilinguals, using the Torrance Test",Kharkhurin 2008,"https://www.cambridge.org/core/journals/bilingualism-language-and-cognition/article/effect-of-linguistic-proficiency-age-of-second-language-acquisition-and-length-of-exposure-to-a-new-cultural-environment-on-bilinguals-divergent-thinking/9F1A467E8529B715885EB9D155107BA5)bilingual adults: n =103, monolingual adults: n = 47, citations=163(GS, January 2023)]. [Kharkhurin 2017 ](https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01067/full)bilingual adults: n =58, monolingual adults: n = 28, citations=27(GS, January 2023)]. [Torrance et al. 1970](https://psycnet.apa.org/record/1970-06532-001",10.3389/fpsyg.2017.01067,"monolingual children: n = 527, bilingual children: n = 536,","241 (GS, January 2023)",527 & 536
Cognitive Psychology,Monolingual advantages in creativity - Flexibility,"Monolingual advantages in creativity  - Flexibility.** Monolinguals are more likely to consider a variety of approaches to a problem simultaneously than bilinguals, using the Torrance Test",Kharkhurin 2008,"https://www.cambridge.org/core/journals/bilingualism-language-and-cognition/article/effect-of-linguistic-proficiency-age-of-second-language-acquisition-and-length-of-exposure-to-a-new-cultural-environment-on-bilinguals-divergent-thinking/9F1A467E8529B715885EB9D155107BA5)bilingual adults: n =103, monolingual adults: n = 47, citations=163(GS, January 2023)]. [Kharkhurin 2017 ](https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01067/full)bilingual adults: n =58, monolingual adults: n = 28, citations=27(GS, January 2023",10.3389/fpsyg.2017.01067,.,,
Cognitive Psychology,Null bilingual advantages in creativity - Originality,"Null Bilingual advantages in creativity - Originality.**  There should be no difference between bilinguals and monolinguals in the tendency to produce ideas different from those of most other people, using the Torrance Test. ​",Kharkhurin 2008,"https://www.cambridge.org/core/journals/bilingualism-language-and-cognition/article/effect-of-linguistic-proficiency-age-of-second-language-acquisition-and-length-of-exposure-to-a-new-cultural-environment-on-bilinguals-divergent-thinking/9F1A467E8529B715885EB9D155107BA5)bilingual adults: n =103, monolingual adults: n = 47, citations=163(GS, January 2023)]. [Kharkhurin 2017 ](https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01067/full)bilingual adults: n =58, monolingual adults: n = 28, citations=27(GS, January 2023",10.3389/fpsyg.2017.01067,. ​,,
Cognitive Psychology,Null bilingual advantages in creativity - Elaboration,"There should be no difference between bilinguals and monolinguals in the tendency to think  through the details of an idea, using the Torrance Test",Kharkhurin 2008,"https://www.cambridge.org/core/journals/bilingualism-language-and-cognition/article/effect-of-linguistic-proficiency-age-of-second-language-acquisition-and-length-of-exposure-to-a-new-cultural-environment-on-bilinguals-divergent-thinking/9F1A467E8529B715885EB9D155107BA5)bilingual adults: n =103, monolingual adults: n = 47, citations=163(GS, January 2023)]. [Kharkhurin 2017 ](https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01067/full)bilingual adults: n =58, monolingual adults: n = 28, citations=27(GS, January 2023",10.3389/fpsyg.2017.01067,. ​,,
Cognitive Psychology,Mozart effect,Listening to Mozart’s sonata for two pianos in D major (KV 448) enhances performance on spatial tasks in standardised tests,etschnig et al. 2010,https://www.sciencedirect.com/science/article/pii/S0160289610000267?casa_token=RMU8MQZu2FgAAAAA:tx3QXI2smPq126NTwDorZDXeKSm3G4s9EdX-I8gSIHATNdYPH5ZXECqFTVDx01caoBPas9BJ,,"meta analysis: k=39,","235 (GS, November 2021)",
Cognitive Psychology,Mozart effect,Listening to Mozart’s sonata for two pianos in D major (KV 448) enhances performance on spatial tasks in standardised tests,Steele et al. 1999a,https://www.nature.com/articles/23611,,"n=86,","555 (GS, November 2021)",86
Cognitive Psychology,Mozart effect,Listening to Mozart’s sonata for two pianos in D major (KV 448) enhances performance on spatial tasks in standardised tests,Steele et al. 1999,"https://journals.sagepub.com/doi/10.2466/pms.1999.88.3.843?icid=int.sj-abstract.similar-articles.2)b n=206, citations=126 (GS, November 2021","10.2466/pms.1999.88.3.843?icid=int.sj-abstract.similar-articles.2)b n=206, citations=126 (GS, November 2021",.,,
Cognitive Psychology,Vivaldi effect,Increased cognitive performance after listening to musical excerpts composed by Vivaldi (similar to Mozart effect,Giannouli et al. 2019,https://journals.sagepub.com/doi/pdf/10.1177/0305735618757901?casa_token=zr5_8Me86KcAAAAA:xl8iI6Ej6Lgq-q-SOdJl99vcQnuKaCCVIpiymCVrCISl1Bj9-jg5CXBb60jaOgaBE-oYQUksZpe-mw,10.1177/0305735618757901?casa_token=zr5_8Me86KcAAAAA:xl8iI6Ej6Lgq-q-SOdJl99vcQnuKaCCVIpiymCVrCISl1Bj9-jg5CXBb60jaOgaBE-oYQUksZpe-mw,"n=448,","19 (GS, June 2023)",448
Cognitive Psychology,Education enhances intelligence,"Education has a consistent positive effect on intelligence. A meta-analysis suggests that one additional year of education corresponds to a gain of approximately 1 to 5 IQ points (contingent on study design, inclusion of moderators, and publication-bias correction",Ritchie and Tucker-Drob 2018,https://journals.sagepub.com/doi/abs/10.1177/0956797618774253?journalCode=pssa,10.1177/0956797618774253?journalCode=pssa,"meta-analysis: n = ​​615,812,","439 (GS, January 2023)",
Cognitive Psychology,Automatic imitation,"The observation of the topographical features of an action facilitates the execution of a similar action in the observer. Humans are prone to automatically imitate others. Automatic imitation differs from spatial compatibility effects and provides an important tool for the investigation of the mirror neuron system, motor mimicry, and complex forms of imitation",Akzel 2012,https://doi.org/10.1098/rspb.2012.0500,10.1098/rspb.2012.0500,"n=114,","13 (GS, June 2022)",114
Cognitive Psychology,Automatic imitation,"The observation of the topographical features of an action facilitates the execution of a similar action in the observer. Humans are prone to automatically imitate others. Automatic imitation differs from spatial compatibility effects and provides an important tool for the investigation of the mirror neuron system, motor mimicry, and complex forms of imitation",Akzel 2015,https://doi.org/10.1037/xhp0000081,10.1037/xhp0000081,"n=102,","7 (GS, June 2022)",102
Cognitive Psychology,Automatic imitation,"The observation of the topographical features of an action facilitates the execution of a similar action in the observer. Humans are prone to automatically imitate others. Automatic imitation differs from spatial compatibility effects and provides an important tool for the investigation of the mirror neuron system, motor mimicry, and complex forms of imitation",Brass et al. 2000,"https://doi.org/10.1006/brcg.2000.1225)n1 = 8, n2 = 8, n3 = 8 citations = 885 (GS, June 2022)]. [Cracco et al. 2018](http://dx.doi.org/10.1037/bul0000143","10.1006/brcg.2000.1225)n1 = 8, n2 = 8, n3 = 8 citations = 885 (GS, June 2022)]. [Cracco et al. 2018](http:","Meta-analysis: n=226 experiments,","134 (GS, June 2022)",226
Cognitive Psychology,Congruency sequence effect,conflict adaptation or Gratton effect). A cognitive phenomenon in which the processing of stimuli is affected by the stimuli that preceded it e.g. congruency effects are smaller following incongruent trials rather than congruent trials,Aczel et al. 2021,https://royalsocietypublishing.org/doi/10.1098/rsos.191353,10.1098/rsos.191353,"Kan et al. 2013 replication, n=103, 70 and 38 participants for Experiments 1, 2 and 3,","4 (GS, Feb 2022)",103
Cognitive Psychology,Congruency sequence effect,conflict adaptation or Gratton effect). A cognitive phenomenon in which the processing of stimuli is affected by the stimuli that preceded it e.g. congruency effects are smaller following incongruent trials rather than congruent trials,Gratton et al. 1992,https://psycnet.apa.org/record/1993-12151-001,,"n1=6, n2=5, n3a=6, n3b= 8,","2004 (GS, April 2023)",
Cognitive Psychology,Congruency sequence effect,conflict adaptation or Gratton effect). A cognitive phenomenon in which the processing of stimuli is affected by the stimuli that preceded it e.g. congruency effects are smaller following incongruent trials rather than congruent trials,Gyurkovics et al. 2020,"https://doi.org/10.1016/j.cognition.2013.09.001)n=489 over four tasks, citations=3(GS, April 2023)]. [Kan et al. 2013](https://doi.org/10.1016/j.cognition.2013.09.001","10.1016/j.cognition.2013.09.001)n=489 over four tasks, citations=3(GS, April 2023)]. [Kan et al. 2013](https:","n = 41 in Experiment 1; n = 28 in Experiment 2; n = 15 in Experiment 3,","81 (GS, February 2022)",41 & 28 & 15
Cognitive Psychology,Action-sentence Compatibility Effect,"ACE). **Participants’ movements are faster when the direction of the described action (e.g., Mark dealt the cards to you) matches the response direction (e.g., toward",Morey et al. 2022,https://link.springer.com/article/10.3758/s13423-021-01927-8,10.3758/s13423-021-01927-8,"pre-registered multi-lab replication, 18 labs, n= 1278,","30 (GS, October 2022)",1278
Cognitive Psychology,The attentional spatial-numerical association of response codes (Att-SNARC) effect,The **attentional spatial-numerical association of response codes (Att-SNARC) effect. **The finding that participants had quicker detects to left-side targets preceded by small numbers and to the right-side targets preceded by large numbers. This finding triggered many assumptions about the number representations grounded in body experience,Fischer et al.,http://www.nature.com/neuro/journal/v6/n6/full/nn1066.html,,"2003 n=15,","857 (GS, January 2023)",15
Cognitive Psychology,The attentional spatial-numerical association of response codes (Att-SNARC) effect,The **attentional spatial-numerical association of response codes (Att-SNARC) effect. **The finding that participants had quicker detects to left-side targets preceded by small numbers and to the right-side targets preceded by large numbers. This finding triggered many assumptions about the number representations grounded in body experience,Colling et al. 2020,https://journals.sagepub.com/doi/10.1177/2515245920903079,10.1177/2515245920903079,"n=1105 at 17 labs,","34, (GS, January 2023)",1105
Cognitive Psychology,The attentional spatial-numerical association of response codes (Att-SNARC) effect,The **attentional spatial-numerical association of response codes (Att-SNARC) effect. **The finding that participants had quicker detects to left-side targets preceded by small numbers and to the right-side targets preceded by large numbers. This finding triggered many assumptions about the number representations grounded in body experience,Wood et al. 2008,https://scholar.google.com/scholar_lookup?title=On+the+cognitive+link+between+space+and+number%3A+A+meta-analysis+of+the+SNARC+effect&author=G.+Wood&author=K.+Willmes&author=H.-C.+Nuerk&author=M.+H.+Fischer&publication_year=2008&journal=Psychology+Science+Quarterly&pages=489-525286387/On_the_cognitive_link_between_space_and_20160606-24636-lu1n8x-libre.pdf?1465236856=&response-content-disposition=inline%3B+filename%3DOn_the_cognitive_link_between_space_and.pdf&Expires=1674746642&Signature=LkMRaFD~-L3BlavA9c8V~btx~MRjqxudP7egqpeDLZvdkPoanxxgF5IHY~nuClvL0PTEofK04IAo1BJvez-2dSV2Ay6RTkXeUeFxzA3kUOsrevPHfa-cT85qMCiasqhCdC6RfBKNbqlEQ1GU9eqS8mdjogdpXrQhN4Z16-gj3GApraDmKsoxJrpDfdeS--eErqeCErRxnjvOdwoMPJ4-Aw~XI9PtOxjmdxqgR~FnzFeMs7JeSeK2VF8z5TYx34vMG6eNjaZpKXstsC8TyNt2svcQ~DGMX6sf-MZUB21A-K-P8L39ONLXcP5LLeP7nxeDGGIFPKszUpxwaO6U8A6zxw__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,"n=46 studies (meta analysis),","545, (GS, January 2023)",46
Cognitive Psychology,Scarcity effect - Attention,"Scarcity effect - _Attention_. **Having too little resources leads individuals to misallocate attention, leading to consequences such as overborrowing. Study 1 examined whether scarcity causes greater cognitive fatigue, measured by poorer performance on a cognitive ability task.​",Camerer et al. 2018,https://doi.org/10.1038/s41562-018-0399-z,10.1038/s41562-018-0399-z,"n=619,","855 (GS, November 2021)",619
Cognitive Psychology,Scarcity effect - Attention,"Scarcity effect - _Attention_. **Having too little resources leads individuals to misallocate attention, leading to consequences such as overborrowing. Study 1 examined whether scarcity causes greater cognitive fatigue, measured by poorer performance on a cognitive ability task.​",O’Donnell et al. 2021,https://doi.org/10.1073/pnas.2103313118,10.1073/pnas.2103313118,"n=668,","0 (GS, November 2021)",668
Cognitive Psychology,Scarcity effect - Attention,"Scarcity effect - _Attention_. **Having too little resources leads individuals to misallocate attention, leading to consequences such as overborrowing. Study 1 examined whether scarcity causes greater cognitive fatigue, measured by poorer performance on a cognitive ability task.​",Shah et al. 2019,https://doi.org/10.1016/j.joep.2018.12.001,10.1016/j.joep.2018.12.001,"n=997,","19 (GS, November 2021)",997
Cognitive Psychology,Scarcity effect - Meaning in life,"Scarcity effect - _Meaning in life_**. Threats to people’s sense that they can afford things that they need in the present and foreseeable future, undermines perceptions of meaning in life.​",O’Donnell et al. 2021,https://doi.org/10.1073/pnas.2103313118,10.1073/pnas.2103313118,"n=304,","0 (GS, November 2021)",304
Cognitive Psychology,Scarcity effect - Discounting,Scarcity effect - _Discounting_**. A negative income shock was associated with increased discounting rates for gains and loses.​,O’Donnell et al. 2021,https://doi.org/10.1073/pnas.2103313118,10.1073/pnas.2103313118,"n=993,","0 (GS, November 2021)",993
Cognitive Psychology,Scarcity effect - Physical pain,Scarcity effect - _Physical pain_. **The higher the economic insecurity is associated with the higher the physical pain,O’Donnell et al. 2021,https://doi.org/10.1073/pnas.2103313118,10.1073/pnas.2103313118,"n=603,","0 (GS, November 2021)",603
Cognitive Psychology,Scarcity effect - Self expansion,Scarcity effect -** **_Self expansion. _**Lower self-concept clarity (conceptualised as a finite resource) is associated with lower self-expansion.​,O’Donnell et al. 2021,https://doi.org/10.1073/pnas.2103313118,10.1073/pnas.2103313118,"n=339,","0 (GS, November 2021)",339
Cognitive Psychology,Scarcity effect - Wellbeing,Scarcity effect** **-_ Wellbeing. _**Imagining having less time available in one’s current city is positively associated with well-being.​,O’Donnell et al. 2021,https://doi.org/10.1073/pnas.2103313118,10.1073/pnas.2103313118,"n=132,","0 (GS, November 2021)",132
Cognitive Psychology,Scarcity effect - Decision making,Scarcity effect - _Decision making. _** Lacking time or money can lead to making worse decisions.​,O’Donnell et al. 2021,https://doi.org/10.1073/pnas.2103313118,10.1073/pnas.2103313118,"n=229,","0 (GS, November 2021)",229
Cognitive Psychology,Scarcity effect - Opportunity costs,Scarcity effect** **- _Opportunity costs._** Poor people are more likely to consider opportunity costs spontaneously,O’Donnell et al. 2021,https://doi.org/10.1073/pnas.2103313118,10.1073/pnas.2103313118,"n=1564,","0 (GS, November 2021)",1564
Cognitive Psychology,Scarcity effect - Conscious thoughts,Scarcity effect -_ Conscious thoughts._** Thoughts triggered by financial concerns intrude more often  into consciousness of poorer individuals than for wealthier individuals.​,O’Donnell et al. 2021,https://doi.org/10.1073/pnas.2103313118,10.1073/pnas.2103313118,"n=1334,","0 (GS, November 2021)",1334
Cognitive Psychology,Scarcity effect - Absoluteness of losses,"Scarcity effect -_ Absoluteness of losses_.** Poorer individuals view losses in more absolute, rather than relative, terms than do wealthier individuals.​",O’Donnell et al. 2021,https://doi.org/10.1073/pnas.2103313118,10.1073/pnas.2103313118,"n=209,","0 (GS, November 2021)",209
Cognitive Psychology,Bottomless soup bowl,Visual cues related to portion size increase intake volume of soup,Andrew 2019,https://statmodeling.stat.columbia.edu/2019/08/20/did-that-bottomless-soup-bowl-experiment-ever-happen/,,blog post.,,
Cognitive Psychology,Bottomless soup bowl,Visual cues related to portion size increase intake volume of soup,Heathers 2018,https://jamesheathers.medium.com/sprite-case-study-5-sunset-for-souper-man-ee898b6af9f5,,blog post.,,
Cognitive Psychology,Simon effect,Faster responses are observed when the stimulus and response are on the same side than when the stimulus and response are on opposite sides,Ehrenstein 1994,https://link.springer.com/article/10.1007/BF00419703,10.1007/BF00419703,"n1=12, n2=14,","27 (GS, June 2022)",
Cognitive Psychology,Simon effect,Faster responses are observed when the stimulus and response are on the same side than when the stimulus and response are on opposite sides,Marble and Proctor 2000,https://psycnet.apa.org/doiLanding?doi=10.1037%2F0096-1523.26.5.1515,,"n1=48, n2=20, n3=32, n4=80,","89 (GS, June 2022)",
Cognitive Psychology,Simon effect,Faster responses are observed when the stimulus and response are on the same side than when the stimulus and response are on opposite sides,Proctor et al. 2000,https://link.springer.com/article/10.1007/s004260000041,10.1007/s004260000041,"n1=64, n2=64,","74 (GS, June 2022)",
Cognitive Psychology,Simon effect,Faster responses are observed when the stimulus and response are on the same side than when the stimulus and response are on opposite sides,Theeuwes et al. 2014,https://psycnet.apa.org/record/2014-22383-001,,"n1=30, n2=30, n3=30, n4=30,","30 (GS, June 2022)",
Cognitive Psychology,ERPs in lie detection - P300 and guilty knowledge,"ERPs in lie detection**. Particularly the P300 ERP component has been related in literature using Guilty Knowledge Tests to conscious recognition of crime-related targets as meaningful and salient stimuli, based on crime-related episodic memories",Abootalebi et al. 2006,https://www.sciencedirect.com/science/article/pii/S0167876006001425?via%3Dihub,,"n=62,","159 (GS, May 2022)",62
Cognitive Psychology,ERPs in lie detection - P300 and guilty knowledge,"ERPs in lie detection**. Particularly the P300 ERP component has been related in literature using Guilty Knowledge Tests to conscious recognition of crime-related targets as meaningful and salient stimuli, based on crime-related episodic memories",Bergström et al. 2013,https://www.sciencedirect.com/science/article/pii/S0301051113001154,,"n1=24, n2=24;","61 (GS, May 2022)",
Cognitive Psychology,ERPs in lie detection - P300 and guilty knowledge,"ERPs in lie detection**. Particularly the P300 ERP component has been related in literature using Guilty Knowledge Tests to conscious recognition of crime-related targets as meaningful and salient stimuli, based on crime-related episodic memories",Mertens & Allen 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1469-8986.2007.00615.x,10.1111/j.1469-8986.2007.00615.x,"n=79,","187 (GS, May 2022)",79
Cognitive Psychology,ERPs in lie detection - P300 and guilty knowledge,"ERPs in lie detection**. Particularly the P300 ERP component has been related in literature using Guilty Knowledge Tests to conscious recognition of crime-related targets as meaningful and salient stimuli, based on crime-related episodic memories",Rosenfeld et al. 2004,https://onlinelibrary.wiley.com/doi/10.1111/j.1469-8986.2004.00158.x,10.1111/j.1469-8986.2004.00158.x,"n-ex1=33; n-ex2.1=12, n-ex2.2=10,","419 (GS, May 2022)",
Cognitive Psychology,ERPs in lie detection - P300 and guilty knowledge,"ERPs in lie detection**. Particularly the P300 ERP component has been related in literature using Guilty Knowledge Tests to conscious recognition of crime-related targets as meaningful and salient stimuli, based on crime-related episodic memories",Wang et al. 2016,https://www.sciencedirect.com/science/article/pii/S0957417416000348?via%3Dihub,,"n=28,","61 (GS, May 2022)",28
Cognitive Psychology,Evaluative conditioning,"Implicit and explicit attitudes are differently sensitive to different kinds of information. Explicit attitude are formed and changed in response to the valence of consciously accessible, verbally presented behavioural information and implicit attitudes are formed and changed in response to the valence of subliminally presented primes.​",Heycke et al. 2018,https://www.tandfonline.com/doi/full/10.1080/02699931.2018.1429389?casa_token=xNcWNNaJOGAAAAAA%3AFDFx4d6LsO-enm4qyfs154qZM27vxi0j8cTKp9CYnkmSsrQN2CaZyWVSd55suDGsm-etNWZwD6H-,10.1080/02699931.2018.1429389?casa_token=xNcWNNaJOGAAAAAA:FDFx4d6LsO-enm4qyfs154qZM27vxi0j8cTKp9CYnkmSsrQN2CaZyWVSd55suDGsm-etNWZwD6H-,"n1=51, n2=57,","32 (GS, November 2022)",
Cognitive Psychology,Bilingual deficit in lexical retrieval,"Compared to monolinguals, bilinguals have often been found to be slower or less accurate in accessing the meaning of a certain word or the word for a certain representation under certain conditions.   ​",Bialystok et al. 2007,https://www.sciencedirect.com/science/article/pii/S0911604407000449?via%3Dihub,,"study 1: n1=24, n2 = 24; study 2: n1 = 50, n2 = 16,","338 (GS, May 2022)",
Cognitive Psychology,Bilingual deficit in lexical retrieval,"Compared to monolinguals, bilinguals have often been found to be slower or less accurate in accessing the meaning of a certain word or the word for a certain representation under certain conditions.   ​",Gollan et al. 2002,https://psycnet.apa.org/record/2002-18399-011,,"n1=30, n2=30,","584 (GS, May 2022)",
Cognitive Psychology,Bilingual deficit in lexical retrieval,"Compared to monolinguals, bilinguals have often been found to be slower or less accurate in accessing the meaning of a certain word or the word for a certain representation under certain conditions.   ​",Gollan et al. 2005,https://link.springer.com/article/10.3758/BF03193224,10.3758/BF03193224,"study 1: n1=31, n2=31; study 2: n1=36, n2=36,","665 (GS, May 2022)",
Cognitive Psychology,Bilingual deficit in lexical retrieval,"Compared to monolinguals, bilinguals have often been found to be slower or less accurate in accessing the meaning of a certain word or the word for a certain representation under certain conditions.   ​",Rosselli et al. 2000,https://www.tandfonline.com/doi/abs/10.1207/S15324826AN0701_3?casa_token=pKsUPwFj5jcAAAAA:1wKzEhJtBNIjxZU2StJZ2IRtcmwx4NzYDUgBZmZNoTehmhnMkEev3a29OsObqYN5yHeQznJPsOiH0iw,10.1207/S15324826AN0701_3?casa_token=pKsUPwFj5jcAAAAA:1wKzEhJtBNIjxZU2StJZ2IRtcmwx4NzYDUgBZmZNoTehmhnMkEev3a29OsObqYN5yHeQznJPsOiH0iw,"n1=45, n2=18, n3=19,","341 (GS, May 2022)",
Cognitive Psychology,Bilingual deficit in lexical retrieval,"Compared to monolinguals, bilinguals have often been found to be slower or less accurate in accessing the meaning of a certain word or the word for a certain representation under certain conditions.   ​",Rosselli et al. 2002,https://www.tandfonline.com/doi/abs/10.1080/00207450290025752,10.1080/00207450290025752,"n= 45, n2=18, n3=19,","151 (GS, May 2022)",45
Cognitive Psychology,Nostalgia as a positive emotional experience,"Nostalgia** **as a positive emotional experience. **A predominantly positive, albeit bittersweet emotion that arises from personally relevant and longful memories of one’s past. Nostalgia was once considered a disease or mental illness, but it has been shown to counteract loneliness, boredom and anxiety",Wildschut et al. 2006,https://psycnet.apa.org/doi/10.1037/0022-3514.91.5.975,10.1037/0022-3514.91.5.975,"Total N=504 over seven studies,","1460 (GS, February 2023)",504
Cognitive Psychology,Spacing effect,Long-term memory is enhanced when learning events are spaced apart in time rather than massed in immediate succession.​,Cepeda et al. 2006,https://psycnet.apa.org/doiLanding?doi=10.1037%2F0033-2909.132.3.354,,", meta-analysis n= 184 articles,","1894 (GS, September 2022)",184
Cognitive Psychology,Spacing effect,Long-term memory is enhanced when learning events are spaced apart in time rather than massed in immediate succession.​,Janiszewski et al. 2003,https://academic.oup.com/jcr/article-abstract/30/1/138/1801740?login=false,,", meta-analysis n= 97 verbal learning studies,","373 (GS, September 2022)",97
Cognitive Psychology,False memories - eyewitness testimony,A phenomenon of recalling a real event that differs from what actually happened or an event that never occurred,Goldschmied et al. 2016,https://doi.org/10.1080/17470218.2016.1237980,10.1080/17470218.2016.1237980,"Experiment 1 n = 115, Experiment 2 n = 112,","9 (GS, October 2022)",115 & 112
Cognitive Psychology,False memories - eyewitness testimony,A phenomenon of recalling a real event that differs from what actually happened or an event that never occurred,"Salovich et al. 2020, unpublished replication",https://osf.io/uhbzp/,,"n = 145, citations = NA].",,145
Cognitive Psychology,False memories - eyewitness testimony,A phenomenon of recalling a real event that differs from what actually happened or an event that never occurred,Winter and Marmolejo 2001,https://scholar.utc.edu/mps/vol8/iss1/5,,"n = 60,","0 (GS, October 2022)",60
Cognitive Psychology,Context-dependent memories,The improved recall or recognition of information when cues in the environment are the same during both encoding and retrieval,Godden and Baddeley 1980,https://doi.org/10.1111/j.2044-8295.1980.tb02735.x,10.1111/j.2044-8295.1980.tb02735.x,"n = 16,","449 (GS, October, 2022)",16
Cognitive Psychology,Context-dependent memories,The improved recall or recognition of information when cues in the environment are the same during both encoding and retrieval,Isarida et al. 2012,https://doi.org/10.3758/s13421-012-0234-0,10.3758/s13421-012-0234-0,"Experiment 1 n = 80,","24 (GS, October 2022)",80
Cognitive Psychology,Context-dependent memories,The improved recall or recognition of information when cues in the environment are the same during both encoding and retrieval,Martin and Aggleton 1993,https://doi.org/10.1002/acp.2350070405,10.1002/acp.2350070405,"n = 40,","42 (GS, October 2022)",40
Cognitive Psychology,Context-dependent memories,The improved recall or recognition of information when cues in the environment are the same during both encoding and retrieval,Murre 2021,https://doi.org/10.1098/rsos.200724,10.1098/rsos.200724,"n = 16,","3 (GS, October 2022)",16
Cognitive Psychology,Context-dependent memories,The improved recall or recognition of information when cues in the environment are the same during both encoding and retrieval,Smith and Vila 2001,https://doi.org/10.3758/BF03196157,10.3758/BF03196157,"meta-analysis; k = 93 studies,","1,046 (GS, October 2022)",
Cognitive Psychology,Motor priming,"Motor priming refers to the phenomenon where a previous motor action influences the subsequent execution of a motor task. Scientific findings have shown that motor priming can have a moderate to large effect on task performance. It's also important to note that the effect size of motor priming can depend on the specific task being used, the population being studied, and the experimental design",da Silva et al. 2020,https://journals.sagepub.com/doi/10.1177/1545968320912760,10.1177/1545968320912760,"n=814 (36 articles, meta-analysis),","10 (PubMed, January 2023)",814
Cognitive Psychology,Motor priming,"Motor priming refers to the phenomenon where a previous motor action influences the subsequent execution of a motor task. Scientific findings have shown that motor priming can have a moderate to large effect on task performance. It's also important to note that the effect size of motor priming can depend on the specific task being used, the population being studied, and the experimental design",Kiesel et al. 2007,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2864965/,,"Theoretical paper, n=NA, citations=138 (GS, March 2023].",,
