Discipline,Effect,Description,Original effect size
Cognitive Psychology,Handedness differences - dyslexia,The rate of learning disabilities was much higher in left-handers than in right-handers. ​,not reported. 
Cognitive Psychology,Handedness differences - intelligence,Left-handedness is associated with lower scores in fluid intelligence,N/A.
Cognitive Psychology,Handedness differences - cognitive ability,Difference in spatial ability between left and right handers. Left handers have a supposed deficit in spatial ability,d = 1.42.
Cognitive Psychology,Handedness differences - sexual orientation,"Intrauterine testosterone levels may determine both handedness and sexuality, with homosexuals having an increased rate of left-handedness",NA (based on anecdotal correspondence between Greschwind and Galaburda and the homosexual community).
Cognitive Psychology,Handedness differences - twins,Handedness differences between twins and singletons. Twins have been suggested to show increased rates of  left handedness compared to singletons.​,OR = 1.43 [1.23 - 1.66]​.
Cognitive Psychology,Handedness differences - sex,Handedness differences between men and women. Men have been suggested to show increased rates of left-handedness compared to women,OR = 1.38​.
Cognitive Psychology,Overlooking of subtractive change,"People systematically default to searching for additive transformations, and consequently overlook subtractive transformations. A tendency to generate and/or select additive ideas over subtractive ones",ꭕ² between 9.71 and 13.63.
Cognitive Psychology,Heterogeneity reduces perceived quantity,"Sets of multiple colourful or different objects (e.g., stars, squares, triangles) seem less with respect to their quantity than the same sets that consist of only one type of object (e.g., only red triangles",d = 0.394 to d = 2.377.
Cognitive Psychology,Eye movement and false memories,Eye movements and false memories. **Lateral eye movements increase false memory rates,"d=-0.77 [-1.34, -0.36]​."
Cognitive Psychology,Gaze-liking effect,"People are more likely to rate objects as more likeable when they have seen a person repeatedly gaze toward, as opposed to away from the object",d=0.94.
Cognitive Psychology,Phonological working memory impairment in dyslexic adults,"Dyslexic individuals show lower scores on phonological working memory, using a nonword repetition task. ​",d = 0.97 [d  calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. 
Cognitive Psychology,Phonological monitoring impairment in dyslexic adults,dyslexic show lower scores on phonological monitoring than neurotypical adults. ​,ηp² = 0.29 [ηp2 calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. 
Cognitive Psychology,Phonological awareness impairment in dyslexic adults,Dyslexic show lower scores on phonological awareness than neurotypical adults,η2  = 0.33 [[calculated using this conversion from F to ](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)partial eta squared].
Cognitive Psychology,Phonemic fluency impairment in dyslexic adults,"Dyslexic adults show lower scores on phonemic fluency tasks than neurotypical adults. Phonemic fluency tasks are a type of verbal fluency task, where people are asked to generate as many words as possible according to a specific criterion relating to phonemes, for instance words starting with the letter ‘M’",d =-0.32 [[calculated using this conversion from t to Cohen’s d](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)].
Cognitive Psychology,Semantic fluency impairment in dyslexic adults,"Dyslexic adults show lower scores on semantic fluency than neurotypical adults. Semantic fluency tasks are a type of verbal fluency task, where people are asked to generate as many words as possible according to a specific criterion, for instance items that are part of the same category, such as foods",d =0.37 [[calculated using this conversion from t to Cohen’s d](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)].
Cognitive Psychology,Lexical precision on lexical competition,Lexical precision lexical competition. **The direction and magnitude of inhibitory priming in word targets with dense neighbourhoods is moderated by spelling,"experiment 1: ηp2= 0.06/ d=  0.062 [calculated, using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)], Experiment 2: ηp2= 0.04/ d = 0.043 [calculated, using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)]."
Cognitive Psychology,Placebo effect,"Placebo Effect. **Refers to the phenomenon in which a treatment or intervention that has no specific therapeutic effect (such as a sugar pill or saline injection) can still produce a therapeutic response in some individuals. The concept of the placebo effect can be traced back to the 18th century, when physicians and researchers began to notice that patients often reported improvements in their symptoms after receiving treatments that did not have any known physiological effects",NA.
Cognitive Psychology,Placebo empathy analgesia,Downregulating first-hand pain perception via placebo analgesia (administration of an inert treatment such as a sugar pill)​ also dampens empathy for another person in pain,d = 0.44 (unpleasantness ratings).
Cognitive Psychology,Nocebo effect,This phenomenon is said to occur when negative expectations of an individual about an experience (e.g. a medical treatment) cause the experience to have a more negative effect than it would have otherwise,NA.
Cognitive Psychology,Stroop effect,"Stroop Effect. **A phenomenon in which it takes longer to name the ink colour of a word when the word itself is a colour name that is different from the ink colour (e.g. the word ""red"" printed in blue ink). The Stroop effect is considered a classic demonstration of the interference between different types of information processing",NA.
Cognitive Psychology,Disfluency effect,"Disfluency, the subjective experience of difficulty associated with cognitive operations, leads to deeper cognitive processing. If information is processed with difficulty or disfluently (e.g. when written in hard-to-read fonts), this experience serve as a cue that the task is difficult or that one’s intuitive (System 1) response is likely to be wrong, thereby activating more elaborate (System 2) processing, resulting in more positive cognitive outcomes.​","Study 1 – participants answered more items on the Cognitive Reflection Test (CRT) correctly in the disfluent font condition than in the fluent font condition, η2 = 0.056 / d = 0.71 [reported in[ Meyer et al.](https://psycnet.apa.org/record/2015-13746-007)]​."
Cognitive Psychology,Retrieval-induced forgetting,RIF). Forgetting of some items is in part a consequence of remembering other items,NA.
Cognitive Psychology,Mood-dependent retrieval,"mood-dependent memory, state dependent memory, encoding specificity). Memory is enhanced when an individual’s mood (i.e., emotional state) at retrieval matches their mood at encoding",NA.
Cognitive Psychology,Positive emotions broaden scope of attention,People experiencing positive emotions exhibit broader scopes of attention than do people experiencing no particular emotion,d= 0.375 (calculated by using[ this calculator](https://lbecker.uccs.edu/)).
Cognitive Psychology,Emotional information facilitates response inhibition,"Response inhibition refers to suppression of prepotent responses which are inappropriate to current task demands. In the lab setting, this is investigated with a stop signal task. The effect showed that both fearful and happy faces as stop signals facilitated response inhibition relative to neutral ones","η2= 0.17, d= 0.44 (fearful vs neutral), d= 0.33 (happy vs neutral) (Calculated using[ this](https://lbecker.uccs.edu/) calculator)."
Cognitive Psychology,Inhibition-induced devaluation,"Inhibition induced devaluation.** Inhibition-induced devaluation refers to reduced response to stimuli which were previously inhibited. This effect results in participants bidding less for shapes that were paired with stop-signals, giving less trustworthiness rating for faces previously paired with stop signals. This effect has several implications for behaviour modification techniques","Exp 1: nogo vs go: d= -0.49, nogo vs new: d= 0.48, Exp 2: nogo vs go: d= -0.33, nogo vs new: d= -0.53. "
Cognitive Psychology,Inhibition induced forgetting,Inhibition-induced forgetting refers to impaired memory for the stimuli to which responses were inhibited,"Exp 1: d= 0.28, Exp 2: d= 0.45, Exp 3: d= 0.3. "
Cognitive Psychology,Semantic Richness Effects in Lexical-Semantic Processing: Body-object Interaction Effect,"Body-object interaction (BOI) effect in lexical-semantic processing.** Words that have higher ratings on the BOI measure receive faster responses (RTs) in lexical-semantic tasks (e.g., lexical decision, semantic decision). The BOI quantifies the ease with which the human body can physically interact with a word’s referent. The BOI effect is thought to show that sensorimotor information contributes to word meaning, providing support for embodied theories of semantic representation", Study 1: η2 = .33. Study 2: η2 = .30.
Cognitive Psychology,False memory implantation,"false memory fabrication). **People fabricate false memories after the suggestion that it happened. After discussing their memories with a researcher, participants reported a false memory",25% of participants ‘remembered’ the false memory. 
Cognitive Psychology,Serial dependence,"Serial dependence describes a visual bias that a reported item (e.g., orientation) is systematically attracted towards the previous reported item","a (height parameter of fitted Derivative-of-Gaussian curve)=8.19°[NA], a=6.76°​[6.25, 7.28] ]([calculated](https://www.calculator.net/confidence-interval-calculator.html)), a=8.75°[8.22, 9.28] ([calculated](https://www.calculator.net/confidence-interval-calculator.html)). "
Cognitive Psychology,Modality-switching cost,"modality switch effect). When verifying object properties, processing is slowed when the modality being processed is different from the modality processed in the preceding trial. The presence of the switching cost suggests that people represent semantic information in a modality-specific, rather than amodal or abstract, manner.​","Experiment 1a - d = 0.18 (29ms), Experiment 1b - d = 0.15 (20ms), Experiment 2 - d = 0.27 (41ms)."
Cognitive Psychology,Tactile Disadvantage,"conceptual tactile disadvantage). Participants find it more difficult and are slower to process words strongly related to the tactile modality (e.g., _sticky_), compared to processing words from other modalities (visual, auditory etc.). The presence of this conceptual tactile disadvantage mirrors a similar disadvantage observed in perceptual processing, where tactile stimuli are slower and more difficult to process than visual or auditory stimuli.​","Experiment 1 - η2 = 0.06, Experiment 2 - η2 = 0.03, Experiment 3 - η2 = 0.01."
Cognitive Psychology,Perceptual strength in lexical processing,visual lexical decision task). Concepts that are rated as being more strongly linked to perceptual experience are processed more quickly than those more weakly linked to perceptual experience. This pattern suggests a sensory basis for conceptual representations.​,R2 Change Experiment 1a = 0.1; R2Change Experiment 1b = 0.06 ; R2Change Experiment 1c = 0.07. 
Cognitive Psychology,Semantic richness in lexical processing,"visual lexical decision task). Concepts that are associated with a larger amount of semantic information (e.g., larger number of features, greater semantic neighbourhood density) are processed more quickly in tasks that require semantic processing. This pattern suggests that richer semantic representations (i.e., more semantic information) facilitate semantic processing","Experiment 1a R2Change = 0.1 (d = 0.667), Experiment 1b R2 Change = 0.06 (d = 0.505), Experiment 1c R2 Change = 0.07 (d = 0.509)."
Cognitive Psychology,Temporal doppler effect,Subjective perception that the past is further away than the future,"Study 1a: d = 0.52, Study 1b: d = 0.45, Study 2: d = 0.51."
Cognitive Psychology,Contextual cueing,"Compared to novel contexts (i.e., spatial arrangements), repeated contexts yield faster response times in visual search without consciously recognizing the context as repeated",ηp2=0.38.
Cognitive Psychology,Search initiation effect,"In a repeated search task, the very first search takes substantially longer than all subsequent searches, implying that most information is processed and learned during the first search which can then be used to guide subsequent searches efficiently.​","d=1.24 [0.73, 1.74] ([calculated).](https://mgto.org/effectsizeguide)"
Cognitive Psychology,Attentional blink,"The attentional blink describes the phenomenon that in a rapid serial visual presentation ​of items, humans show a reduced ability to detect the second of two targets among distractors if the second target follows after approximately 200ms – 500ms after the first target. This effect is interpreted as displaying one of the limitations of human visual processing","ηp2=0.77 ([calculated](https://docs.google.com/document/d/1vNjPCI7H52T8tav1reYgWx6puMT03JZVY1wvEPHrWU/edit), main effect of target 1 vs target 2)."
Cognitive Psychology,Emotional attentional blink,"emotion-induced blindness). Similar to the attentional blink, a target among distractors in a rapid serial visual presentation of images is missed, if it was preceded by an emotionally arousing image. Importantly and in contrast to the attentional blink phenomenon, the emotionally ​arousing image is task-irrelevant",ηp2=0.45 ([calculated](https://docs.google.com/document/d/1vNjPCI7H52T8tav1reYgWx6puMT03JZVY1wvEPHrWU/edit)).
Developmental Psychology,Growth mindset,Thinking that skill is improvable on attainment,"Hard to establish, but reported up to r = 0.54 / d=0.95 in some papers."
Developmental Psychology,"Expertise attained after 10,000 hours practice","The notion that it takes around 10,000 hours of practice to become an expert in a particular field or domain. Specifically, that deliberate practice explains from most to all of the variance in (expert) performance in sports",=>50% to 100%​.
Developmental Psychology,Tailoring to learning styles,Tailoring teaching to students’ preferred learning styles has any effect on objective measures of attainment,NA.
Developmental Psychology,Neonate imitation,Babies are born with the ability to imitate,Not reported​.
Developmental Psychology,Violent media content on aggression,"Violence content in media can affect people to be more aggressive. Notably, the studies of this effect differ by media (TV, games, etc.) and whether long, medium, or short-term effects have been investigated. The variety of methods/tests further complicates the literature. Distinct media types are marked for each reference below","Bandura et al.: r2 = 8.96, p &lt; .02. "
Developmental Psychology,Mutual exclusivity bias,"When presented with two objects, one of which has a known label and one which does not, infants (by ~20mo) are more likely to choose the object without a known label when prompted with a novel label","g=1.688 [0.655, 2.720]."
Developmental Psychology,Mutual exclusivity bias - bilinguals,Mutual exclusivity bias in bilinguals**. Bilingual (and multilingual) infants exhibit delayed and/or lower mutual exclusivity bias than monolingual infants,NA (not enough information; mean difference in proportion=0.065).
Developmental Psychology,Abstract rule learning,"After training on strings on stimuli generated from a particular repetition pattern (e.g., AAB), young infants attend longer to novel stimuli generated from a novel pattern (e.g., ABA) than novel stimuli generated from the original pattern","η2p=0.647 [0.252, 0.789]."
Developmental Psychology,Theory of mind – below-4 year olds,Theory of mind in below-4 year olds **(false belief). Children under four years of age fail at theory of mind tasks,"Cohen’s h=-1.57 [-2.44, -0.69]. "
Developmental Psychology,Theory of mind – over development,Theory of mind over development** (false belief). Success rate at theory of mind tasks increases over age within the first 6 years of life,"Cohen’s h=2.42 [1.68, 3.16] (3–4yo vs 4–6yo)."
Developmental Psychology,Preference for prosocial agents,Infants and toddlers prefer prosocial agents over neutral or antisocial agents,"log OR(6mo)=1.77, log OR(10mo)=1.07."
Developmental Psychology,Flynn effect,The observed rise over time in standardised intelligence test scores in the successive versions of Stanford-Binet and Wechsler intelligence tests. This effect points toward an increase in “intelligence” in the next generation compared to the previous generation,3.1 (IQ gain per decade).
Developmental Psychology,Do children overhear to learn new words?,Children were equally good at learning novel words- when they were overhearers as when they were directly addressed,ES not reported. 
Differential Psychology,2D:4D ratio of the fingers,"and its correlation with psychological traits. **This ratio was used as a predictor for different interindividual (e.g., intelligence) and especially gender differences",": d=0.13 (estimated from the reported χ² (1, N=896)=3.79)."
Differential Psychology,Personality traits and consequential life outcomes,"Personality traits (i.e., characteristic patterns of thinking, feeling, or behaving that tends to be consistent over time and across relevant situations), particularly the Big Five factors, are linked with consequential individual, interpersonal, and social-institutional outcomes",r = .10 to .40.
Differential Psychology,Reading prevents cancer,Combining bibliotherapy and short-term individual therapy can reduce the probability of dying from cancer and may prolong lives of those already suffering from cancer.​,106 out of 600 died in the control group versus 27 out of 500 died in the therapy group.
Differential Psychology,Graphology,The analysis of handwriting with the attempt to determine someone’s personality traits,not reported.​
Judgement and Decision Making/Behavioural Economics,Default effect,"In a choice scenario between two alternatives, when an alternative is presented as a default option, people stick with it rather than change it. For example, 'Opt Out' default organ donation policies increase organ donations",OR = 5.15 to OR = 5.93​.
Judgement and Decision Making/Behavioural Economics,Decoy effect,"alternatives: asymmetric dominance; attraction effect). The Decoy Effect is a cognitive bias in which an individual's preference between two options is influenced by the presence of a third, asymmetrically dominated  option (i.e., a decoy similar but inferior to one of the original options). Individuals are more likely to choose the option that is similar to the decoy option than if the decoy were absent. Decoy effect has been replicated in different studies and contexts, though the magnitude of the effect can vary, particularly depending on the specific features of the options being considered and the context in which the decisions are being made",NA.
Judgement and Decision Making/Behavioural Economics,Nudges,Choice architecture interventions that promote beneficial decisions,No effect sizes were provided in the original book.
Judgement and Decision Making/Behavioural Economics,Risky choice framing effect,"term used by Levin et al., 1998) (framing effect in risky-decision making). Under loss-frame, people are risk-seeking, whereas under gain-frame, people are risk-averse. In framing studies, logically equivalent choice situations are differently described and the resulting preferences are studied. In risky choice problems, the way a choice is presented influences the decision (e.g. saving 10 people out of 100 vs losing 90 people out of 100","d = 1.13 [0.89, 1.37] (based on Klein et al., 2014 calculation). "
Judgement and Decision Making/Behavioural Economics,Risk and goal message framing,"a) For illness detection behaviours, loss framing (presenting information of negative consequences with undesirable behaviours / without desirable behaviours) would be more effective than gain framing (presenting information of benefits through engaging in desirable behaviours) in encouraging healthy attitudes, intentions, and behaviours (perhaps because illness detection behaviours are riskier, Rothman and Salovey, 1997), whereas b) for health-affirming behaviours, gain framing would be more effective than loss framing in motivating healthy attitudes, intentions, behaviours (perhaps because health-affirming behaviours are less risky, Rothman and Salovey, 1997","ηp2=0.03  [0.00, 0.10], to ηp2=0.06 [0.01, 0.14]."
Judgement and Decision Making/Behavioural Economics,Status quo effect,"status quo bias). A cognitive bias that leads people to prefer things to stay the same, even when change may be beneficial, thus a preference for the current state of affairs",: Cohen’s h from .16 to .79 (recalculated in Xiao 2021).
Judgement and Decision Making/Behavioural Economics,Temporal action-inaction effect,"The proposed phenomenon that people associate or experience stronger regret with action compared to inaction in the short-term, but stronger regret with inaction compared to action in the long-term. ​","Study 1: V = 0.50, Study 3: V = 0.28 to V = 0.53, Study 4: V = 0.24 to V = 0.53, Study 5: V = 0.06 to V = 0.56​ (reported in  Yeung and Feldman 2022)."
Judgement and Decision Making/Behavioural Economics,Money market versus goods/social market,"The money market relationship refers to an exchange in which effort level is determined based on the level of compensation. By contrast, the social market relationship is an exchange in which effort level is most influenced by altruistic motivations rather than the compensation level. Heyman and Ariely (2004) proposed and showed that when the former is primed with monetary compensation, the more compensation they receive, the more effort they displayed. Yet, effort level did not vary depending on the level of compensation when the latter is primed with non-monetary compensation (i.e., goods), effort level does not depend on compensation level. ​","Money market: d = -0.59 [-0.89, -0.29]; Social market: d = 0.25 [-0.55, 0.05]"
Judgement and Decision Making/Behavioural Economics,Risk benefits negative association,Risk and benefit perceptions **(affect heuristic). Increasing risks of a hazard leads people to judge its benefits as lower while vice versa increasing benefits leads people to judge its risk as lower.​,"r = -0.74 [-0.92,-0.30]."
Judgement and Decision Making/Behavioural Economics,Temporal value asymmetry,TVA). The phenomenon that contemplating future events elicits stronger emotions than contemplating past events has been coined “temporal value asymmetry” (TVA).  TVA was robust in between-persons comparisons and absent in within-persons comparisons,"Between-subjects analysis - Study 1 : Monetary Valuation: d = 0.41 [0.04, 0.76]; Difficulty: d = 0.08 [-0.27, 0.44]; Qualification: d = 0.19 [-0.17, 0.55]. Study 4 (DV = Monetary Value): Relevance: ηp2 =  0.03 [0.00, 0.10]; Temporal Location: ηp2 =  0.05  [0.01, 0.13]; Relevance*Temporal Location: ηp2 =  0.02 [0.00, 0.08]; Study 4 (DV = Stress): Relevance: N/A, Temporal Location: N/A; Relevance*Temporal Location: ηp2 =  0.02 [0.01, 0.12]. Study 1: Fairness: d = 0.43 [0.06, 0.80]; Negative Emotions: d = 0.37 [0.003, 0.74]; Brand’s Intentions: d = 0.33 [-0.03, 0.70]."
Judgement and Decision Making/Behavioural Economics,Exceptionality effect,"emotional amplification, normality bias, exceptional-routine effect). The affective response to an event is enhanced if its causes are abnormal. Exceptionality effect is the phenomenon that people associate stronger negative affect with a negative outcome when it is a result of an exception (abnormal behaviour) compared to when it is a result of routine (normal behaviour). The exceptionality enhances the response to an event for the emotion of regret, self-blame, the cognitive response for victim compensation and offender punishment",Hedge’s g =1.09 to g=2.78​.
Judgement and Decision Making/Behavioural Economics,Temporal differences in trait self-ascriptions,"Much like how we are more likely to ascribe dispositional traits, as opposed to situational variables, when explaining the behaviour of other people compared to ourselves, the same asymmetry can also be observed when making trait assessments about our temporally distant selves (e.g. past or future). People are more likely to ascribe dispositional traits, compared to situational explanations, when making judgements about their past or future self","People attribute more dispositional traits to others compared to themselves (social distance), f = 0.35 [0.03, 0.16]; People attribute more positive, compared to negative, traits when making self-assessments (self-enhancement), f = 0.77 [0.29, 1.25], and this ratio does not increase with temporal distance, f = 0.16 [0.00, 0.36]; People ascribe more dispositional traits when making assessments about their temporally distant self compared to their present self (temporal distance), f = 0.54 [0.27, 0.77]."
Judgement and Decision Making/Behavioural Economics,Bias Blind Spot,The phenomenon that people perceive stronger biases for others compared to self. Pronin (2002) found support for self-other asymmetries in perceived biases but failed to find support for self-other asymmetries in perceived personal shortcomings. Chandrashekar et al. (2021) found support for self-other asymmetries for both biases and personal shortcomings.​,"d = -0.86 for biases, d = 0.28 for personal shortcomings. "
Judgement and Decision Making/Behavioural Economics,Hindsight Bias,Hindsight bias refers to the tendency to perceive an event outcome as more probable after being informed of that outcome,d=0.36 to d=0.61.
Judgement and Decision Making/Behavioural Economics,Disjunction Effect,"The sure-thing principle (STP) posits that if decision-makers are willing to make the same decision regardless of whether an external event happens or not, then decision-makers should also be willing to make the same decision when the outcome of the event is uncertain. People regularly violate the STP – uncertainty about an outcome influence decisions.​","“Paying-to-know” paradigm – participants were willing to pay a small fee to postpone a decision about a vacation package promotion when outcome of an exam was uncertain, despite preferences to purchase the package regardless of exam outcome, Cramer’s V = 0.22 [0.14, 0.32] (reported in[ Ziano et al. 2021](https://www.sciencedirect.com/science/article/abs/pii/S0167487020301070?casatoken=CGkmyEQ8jYIAAAAA:WQ0S1i2i6jMYNSxYNPUDUjU74dF0fmAs6R5qfhyH6bkYtYSJ6F0t0ra0TZkdInLDEJ6hC6-g)); “Choice under risk” problem – facing uncertainty about the outcome of an initial bet led to less willingness to again accept the exact same bet, compared to when having learned the outcome of the first bet, Cramer’s V = 0.26 [0.14, 0.39] (reported in[ Ziano et al. 2021](https://www.sciencedirect.com/science/article/abs/pii/S0167487020301070?casatoken=CGkmyEQ8jYIAAAAA:WQ0S1i2i6jMYNSxYNPUDUjU74dF0fmAs6R5qfhyH6bkYtYSJ6F0t0ra0TZkdInLDEJ6hC6-g))​. "
Judgement and Decision Making/Behavioural Economics,Money Illusion,"The inability of individuals to account for inflation or deflation when making decisions. If inflation, money loses value over time, leading to people to fail to consider the impact of inflation or real value of money","Problem 1: Cramer’s V  = 0.26 [0.17, 0.37]; Problem 2: XX = 48% [42%, 52%]; Problem 3; buy: 38% [33%, 43%] and sell: 43% [38%, 48%]; and Problem 4: V = 0.25 [0.13, 0.42] (obtained from Ziano et al. 2021)."
Judgement and Decision Making/Behavioural Economics,Choosing versus rejecting,"Framing effects, compatibility principle). People are inconsistent in their preferences when faced with choosing versus rejecting decision-making scenarios",d = 0.22 to 0.51​. 
Judgement and Decision Making/Behavioural Economics,Conjunction bias,"conjunction fallacy). The fallacy consists of judging the conjunction of two events as more likely than any of the two specific events, violating one of the most fundamental tenets of probability theory",d =1.08 to 1.01​. 
Judgement and Decision Making/Behavioural Economics,Direct versus indirect harm,"Individuals believe that causing indirect harm is more moral than direct harm, regardless of outcomes, intentions, or self-presentational concern","d = 0.70 [0.40, 1.00] (estimated from test-statistic: t(53) = 5.12, p &lt; .001). "
Judgement and Decision Making/Behavioural Economics,Distinction bias,"When evaluating how happy options would make them, people who evaluated the options simultaneously predicted greater happiness for the good options and lower happiness for the bad options, whereas people who evaluated the options separately (i.e., only evaluated one option) showed little difference between the options","Study 1: d = 1.17 and 3.26; Study 2: = 0.60, 0.75, 0.91, and 1.20. "
Judgement and Decision Making/Behavioural Economics,Inaction inertia effect,"Forgoing an offer that is less appealing, but still desirable, than a previous offer. For example, if you missed the opportunity to attend a skiing trip that was offered at £40 rather than the usual £100​, you would reject the offer of going to the same ski trip when offered for £80 rather than the usual £100","Experiment 1 (Ski resort): ωp2 = .08 [.01, .19] (estimated from test-statistic: F(2, 105) = 5.92, p = .004); Experiment 2: Car: ωp2 = .05 [.00, .14] (estimated from test-statistic: F(2, 117) = 4.12, p = .019), Frequent flyer: ωp2 = .07 [.00, .16] (estimated from test-statistic: F(2, 117) = 5.46, p = .005), Fitness centre: ωp2 = .05 [.00, .13] (estimated from test-statistic: F(2, 117) = 3.92, p = .022); Experiment 3 (Ski resort): d = 0.59 [0.24, 0.94] (estimated from test-statistic: F(1, 131) = 11.28, p &lt; .001); Experiment 4 (Fitness centre): d = 0.44 [-0.02, 0.90] (reported as significant in the paper, but estimated from test-statistic: F(1, 75) = 3.68, p = .059); Experiment 5 (Betting): Betting amount: d = 0.73 [0.19, 1.27] (estimated from test-statistic: F(1, 56) = 7.54, p = .008), Likelihood of placing bet: d = 0.61 [0.07, 1.14] (estimated from test-statistic: F(1, 56) = 5.20, p = .026); Experiment 6 (Frequent flyer): d = 0.39 [0.08, 0.71] (estimated from test-statistic: F(1, 159) = 6.18, p = .014)"
Judgement and Decision Making/Behavioural Economics,Mere ownership effect,The mere ownership effect refers to an individual's tendency to evaluate an object more favourably merely because he or she owns it,study 1: r=0.33 study 2: r=0.35. 
Judgement and Decision Making/Behavioural Economics,Omission Bias,"alternative terms: action-inaction effect). The tendency to view harmful actions as worse than inactions, despite the result being the same","(effect sizes generated using a formula in [Rosenthal & DiMatteo (2001, p. 71)](https://www.annualreviews.org/doi/abs/10.1146/annurev.psych.52.1.59?casatoken=64pk97JtU90AAAAA:6v270IavA0ggpS00pTpMhl4S005V86fKCAHTx3Abi-pk1na30ImJq6vgTndIdnDBGzGPt23KGHH4Hq) using the conversion from r to Cohen's d) Experiment 1: Scenario 1: d = 0.63 (estimated from frequencies reported in report: 37 vs. 20, χ2(1, N = 57) = 5.07, p = .024), Scenario 2: d = 0.80 (estimated from frequencies reported in report: 39 vs. 18, χ2(1, N = 57) = 7.74, p = .005) (*For both scenarios the effect size was estimated from the reported frequencies, generating a chi-square value, converting this to Pearson’s r ("
Judgement and Decision Making/Behavioural Economics,Identifiable victim effect,"Refers to the phenomenon that people are more likely to offer greater help to specific, identifiable victims than to anonymous victims",ηp 2 = 0.06 (Study 1) to ηp 2 = 0.07 (Study 3)​.
Judgement and Decision Making/Behavioural Economics,Psychophysical numbing,"People prefer to save lives if they are a higher proportion of the total (e.g. do people prefer to save 4,500 lives out of 11,000 or 4,500 lives out of 250,000",
Judgement and Decision Making/Behavioural Economics,Signing at the top and dishonesty,"Signing a veracity statement at the top, instead of at the end, of a form/document encourages honest reporting",d = -1.05 (Study 1); d = -.53 (Study 2); d = -.20 (Study 3).
Judgement and Decision Making/Behavioural Economics,Loss aversion,"The subjective value of losses exceeds the subjective values of gains. This phenomenon can denote a stronger preference for avoiding losses rather than acquiring gains. Loss aversion is still mostly replicable but with weaker effects for some people and in some situations (see [Mrkva et al., 2020](https://www.alexandria.unisg.ch/260559/2/jcpy.1156.pdf",λ = 2.25 (reported in Walasek et al. 2018).
Judgement and Decision Making/Behavioural Economics,Effort heuristic,People judge products that took longer time to complete as higher in quality and monetary value,"Study 1: d = 0.34 [0.00, 0.68] (liking/quality), d = 0.33 [-0.02, 0.67] (monetary value); Study 2: ηp2 = 0.09 [0.01, 0.21] (liking/quality), ηp2 = 0.15 [0.03, 0.28] (calculated by Ziano et al. 2022)."
Judgement and Decision Making/Behavioural Economics,Unconscious thought advantage,"“deliberation-without-attention”). The idea that for complex choices (with more features to take into account), not deliberating leads to better decisions (as defined by the research team, i.e., normatively).​",Experiment 1: g = .86; Experiment 2: g = .70] (as per Nieuwenstein et al. 2015).
Judgement and Decision Making/Behavioural Economics,Self-interest is overestimated,How much personal benefits affect policy preferences and behaviours,"Effect sizes cannot be calculated as no variance was provided, but the effects looked large. "
Judgement and Decision Making/Behavioural Economics,Marshmallow experiment,"self-imposed delay of gratification). A child’s success in delaying the gratification of eating marshmallows or a similar treat is related to better outcomes in later life. ​Outcomes that have been studied include coping, social, and academic competence, substance use, borderline personality features, BMI, executive functioning, and neural activation patterns",academic achievement r=.42 to r=.57​.
Judgement and Decision Making/Behavioural Economics,Differential reinforcement of alternate behaviour (DRA),DRA procedures reduce a certain behaviour by reinforcing an appropriate alternative behaviour that serves the same function,NA.
Judgement and Decision Making/Behavioural Economics,Differential reinforcement of incompatible behaviour (DRI),DRI** **reinforces a physically incompatible behaviour to replace the unwanted behaviour,
Judgement and Decision Making/Behavioural Economics,Differential reinforcement of low rates of behaviour (DRL),DRL is a technique in which a positive reinforcer is delivered at the end of a specific interval if a target behaviour has occurred at a criterion rate,NA.
Judgement and Decision Making/Behavioural Economics,Differential reinforcement of other behaviour (DRO),is a reinforcement procedure in which reinforcement is delivered for any response other than a specific target behaviour,ES not reported.
Judgement and Decision Making/Behavioural Economics,Extinction bursts,"Extinction is an intervention procedure to reduce tantrum behaviours, by removing enforcement (eg. ignoring a child crying), and an extinction burst is a temporary increase in the frequency or intensity of that behavior","NA, case report. "
Judgement and Decision Making/Behavioural Economics,Functional communication training,"FCT) is a therapy for autistic children, or children with severe behaviour problems. FCT aims to replace challenging behaviour with new methods of communication",not reported. 
Judgement and Decision Making/Behavioural Economics,Schedules of R+,Rule that describes how often the occurrence of a behaviour will receive a reinforcement. Used as part of ABA (Applied Behaviour Analysis) in autistic individuals,not reported.
Judgement and Decision Making/Behavioural Economics,Above-Average Effect,Better-Than-Average Effect). People have the tendency to perceive themselves as superior in comparison to the average peer,"For the trait desirability effect, ηp2 = .78 [.73, .81]; for the effect of desirability being stronger for more controllable traits, ηp2 = .21 [.12, .28]. "
