Discipline,Effect,Description,Replication effect size
Neuroscience (humans,Hydrocephaly,"The effect of massive volume loss improving cognition. Hydrocephalus, also known as ""water on the brain,"" is a condition in which there is an abnormal accumulation of cerebrospinal fluid (CSF) in the ventricular system of the brain. This can cause the ventricles to become enlarged, putting pressure on the brain and causing a wide range of symptoms, depending on the severity of the condition and the age of the individual. There are two types of Hydrocephalus: congenital and acquired. Congenital Hydrocephalus is present at birth and is caused by a genetic or developmental abnormality. Acquired Hydrocephalus develops later in life and can be caused by a variety of factors, such as a brain tumour, infection, or injury","NA.​ Crucially, for meta-analyses on improvements after Hydrocephaly treatment see Zhang (2020) or Tabatabaee et al. (2019). Hawks: The reported cases do not apparently involve significant gray matter tissue loss. A ""thin"" cortex does not necessarily imply functionally small cortical volume, even with substantial white tissue loss. Neuroskeptic: While the enormous “holes” in these brains seem dramatic, the bulk of the grey matter of the cerebral cortex, around the outside of the brain, appears to be intact and in the correct place; no detailed post-mortem studies of their brain tissue have been published. Gwern: the cases turn out to be suspiciously un⁣ver⁣i⁣fi⁣able (Lor⁣ber), likely fraud⁣u⁣lent (Oliveira), or actually low in⁣tel⁣li⁣gence (Feuil⁣let). It is un⁣clear if high-functioning cases of hydrocephalus even have less brain mass, as opposed to lower proxy measures like brain vol⁣ume. Feuillet et al.: man who got to 44 years old before anyone realised his severe hydrocephaly, through marriage and employment. IQ 75 (i.e. _d_=-1.7)."
Neuroscience (humans,Readiness potentials,"Readiness potentials are neural signals that are observed in the brain prior to voluntary movements. They are typically measured using electroencephalography (EEG) and are thought to reflect the neural activity associated with preparing for a movement, occurring several hundred milliseconds before the movement occurred, suggesting that the brain prepares for the movement before the person is consciously aware of the decision to move. RP have been observed in various regions of the brain, including the primary motor cortex, supplementary motor area, and premotor cortex. [Schurger](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8192467/) et al. (2021) for a glossary. The discovery of readiness potentials (RP) has been used to argue against the concept of free will, as it suggests that the neural activity associated with a voluntary movement starts before the person is consciously aware of the decision to move","Fried et al.: replicated (no ES). Travers et al.: replicated (no ES). McGilchrist/ Alexander et al.: The neural activity observed may not necessarily be associated with the preparation for a voluntary movement, but rather with a cognitive process such as attention or decision making. Some studies have suggested that RP may reflect the neural activity associated with attentional processes rather than motor preparation, and that the relationship between RP and voluntary movement is not as clear-cut as initially thought."
Neuroscience (humans,Left-Brain vs. Right-Brain Hypothesis,"Left-brain vs. Right-brain Hypothesis. **Individuals may be left-brain dominant or right-brain dominant based on personality and cognitive style. Specifically, the hypothesis proposes that the two hemispheres of the brain have different functions and abilities, with the left hemisphere being associated with logical, analytical, and verbal skills, and the right hemisphere being associated with creative, intuitive, and spatial skills. This idea has been popularised in popular culture, but it is not supported by scientific evidence","Nielsen et al.: N/A, data are not consistent with a whole-brain phenotype of greater “left-brained” or greater “right-brained” network strength across individuals [no specific result in Nielsen et al. 2013]."
Neuroscience (humans,Oxytocin on trust,Intranasal administration of oxytocin increases trust in strangers in a laboratory setting,"Declerck et al.: No support for the hypothesis that OT increases trust in the minimal social contact condition β= −0.136 [−0.952, –0.682]. Lane et al.: Study 1 - no significant effect, _F_(1,93) = .229, _p_ = .663; Study 2 - no significant effect, _F_(1,59) = .295, _p_ = .589."
Neuroscience (humans,Structural brain-behaviour correlations - the association between behavioural activation and white matter integrity,Individual differences in the sensitivity to signals of reward as indexed by BAS-Total and in the tendency to seek out potentially rewarding experiences as measured by BAS-Fun are positively correlated with diffusion measures of several white matter pathways,"Keuken et al.: BAS-Total correlation with parallel diffusivity in the left CR/SLF: _r_ = -.15; BAS-Fun correlation with: fractional anisotropy in the left CR/SLF: _r_ = -.15, parallel diffusivity in the left CR/SLF: _r_ = -.04, mean diffusivity in the left SLF/inferior fronto-occipital fasciculus (IFOF): _r_ = .05."
Neuroscience (humans,Structural brain-behaviour correlations - the association between social network size and grey matter volume,"Structural brain behaviour correlations** - **The association between social network size and grey matter volume**. Individual differences in the number of Facebook friends (FBN) are positively correlated with grey matter volume in several brain areas: left middle temporal gyrus (MTG), right superior temporal sulcus (STS), rich entorhinal cortex (EC), left and right amygdala",Kanai et al.: left MTG: _r_ =.38; right STS: _r_ = .44; right EC: _r_ = .48; left amygdala: _r_ = .33; right amygdala:  _r_ = .48. Boekel et al.: left MTG: r = .18; right STS: _r_ = .11; right EC: _r_ = .06; left amygdala: _r_ = -.14; right amygdala: _r_ = .02.
Neuroscience (humans,Structural brain-behaviour correlations - the association between distractibility and grey matter volume,Variability in self-reported distractibility is positively correlated with grey matter volume in the left superior parietal lobule (SPL) and negatively correlated with grey matter volume in medial pre-frontal cortex (mPFC,Boekel et al.: left SPL: _r_ =.22; mPFC: _r_ = -.19.
Neuroscience (humans,Structural brain-behaviour correlations - the association between attention and cortical thickness,"Individual differences in executive control are negatively correlated with cortical thickness in left anterior cingulate cortex (ACC), left superior temporal gyrus (STG), and right middle temporal gyrus (MTG), whereas variation in alerting scores is negatively correlated with cortical thickness in the left superior parietal lobule (SPL",Boekel et al.: Executive control scores and cortical thickness in left ACC: _r_ = -.18; left STG: _r_ = -.14; right MTG _r_ = -.19; Alerting scores and cortical thickness in left SPL: _r_ = .16.
Neuroscience (humans,Structural brain-behaviour correlations - the association between control over speed/accuracy of perceptual decisions and white matter tracts strength,Individual differences in control over speed and accuracy of perceptual decisions are positively correlated with the strength of white matter tracts between the right presupplementary motor area (pre-SMA) and the right striatum,​​Forstmann et al.: _r_ = .76. Keuken et al.: _r_ = -.08.
Neuroscience (humans,Structural brain-behaviour associations: the association between executive function and grey matter volume,Grey matter volume in the rostral dorsal premotor cortex is associated with individual differences in executive function as measured by the trail making test,Genon et al.: _r_ = 0.​
Neuroscience (humans,Fear conditioning - Amygdala,"Animal research suggests that fear conditioning activates the amygdala ([LeDoux, 1993](https://doi.org/10.1111/j.1749-6632.1993.tb17246.x)), which has been replicated in some (but not all) human fMRI fear conditioning studies","Armony and Dolan: the presence of the aversive visual context was associated with enhanced activity in parietal cortex, which may reflect an increase in attention to the presence of environmental threat stimuli. Büchel et al.: Differential evoked responses, related to conditioning, were found in the anterior cingulate and the anterior insula, regions with known involvement in emotional processing. Büchel et al.: Differential responses (CS+ vs CS−), related to conditioning, were observed in anterior cingulate and anterior insula, regions previously implicated in delay fear conditioning; differential responses were also observed in the amygdala and hippocampus that were best characterized with a time × stimulus interaction, indicating rapid adaptation of CS+-specific responses in medial temporal lobe. Fullana et al.: no robust and consistent involvement of the amygdala in fear acquisition across studies; see effect size maps (Fig. 1, 2, 3, and 4; maps are difficult to convert into numbers). Mechias et al.: consistent activation in rostral dmPFC but not in the other candidate areas; discussing methodological constraints. Öhman et al.: excellent overview about early replications and methodological considerations to capture amygdala activity in humans.  Phelps et al.: amygdala activation was correlated across subjects with the conditioned response in both acquisition and early extinction.. Sehlmeyer et al.: A network consisting of fear-related brain areas, such as amygdala, insula, and anterior cingulate cortex, is activated independently of design parameters. However, some neuroimaging studies do not report these findings in the presence of methodological heterogeneities. Furthermore, other brain areas are differentially activated, depending on specific design parameters. These include stronger hippocampal activation in trace conditioning and tactile stimulation. Furthermore, tactile unconditioned stimuli enhance activation of pain related, motor, and somatosensory areas. Sperl et al.: Fear and extinction recall as indicated by theta explained 60% of the variance for the analogous effect in the right amygdala."
Neuroscience (humans,Fear conditioning - vmPFC,"Animal research suggests that fear extinction activates the vmPFC ([Morgan et al., 1993](https://doi.org/10.1016/0304-3940(93)90241-C)); based on these findings from animal research, some (but not all) human fMRI fear conditioning/extinction studies found that the vmPFC becomes activated during fear extinction recall","Diekhof et al.: evidence that fear extinction activates vmPFC subregions in humans. Fullana et al.: there is support that fear extinction recall is associated with vmPFC activation, but vmPFC extinction effects seem to be more nuanced than previously assumed and vmPFC effects seem to depend on paradigm characteristics; see effect size maps (Fig. 1, 2, 3, and 4; maps are difficult to convert into numbers)."
Neuroscience (humans,Fear conditioning - Theta Oscillations,"Fear conditioning - Theta oscillations**. Animal research suggests that fear conditioning evokes prefrontal theta activity, which can be measured with EEG in humans","ierwirth et al.: results replicated and extended by the influence of sex hormones, _ηp2_ _(estradiol status for E2 level by group)_ =.076; _d (one-sided; MC women vs. OC women) = _.698_; _ _d_ (one-sided; MC women vs. men) = .756; _d_ (one-sided; OC women vs. men) = .077. _ηp2_(estradiol status for P4 level by group) =.099; _d_ (MC women vs. OC women) = .718; _d_ (MC women vs. men) = .867; _d_ (OC women vs. men) = .219; _ηp2_(estradiol status for testosterone level by group) =.681; _d_ ( men vs. MC women) = 3.303; _d_ (men vs. OC women) = 3.303; _d_ (MC women vs. OC women) = .598; _ηp2_(skin conductance responses, day 1: contingency) = .426; _ηp2 _(skin conductance responses, day 1: estradiol status) = .139; _ηp2_(skin conductance responses, day 1: estradiol status X contingency) = .115; _d_ (diffSCR, men vs. OC women) = .797; d (diffSCR, men vs. MC women) = .665; _ηp2_(extinction learning, day 1: contingency) = .277; _ηp2_(extinction learning, day 1: contingency X estradiol status) = .250; _d_ (diffSCR during learning, men vs. OC women) = .937; _d_ (diffSCR during learning, men vs. MC women) = 1.175; _d_ (one-sided; diffSCR during extinction learning vs. fear acquisition) = .353; _ηp2_(skin conductance responses, day 2: contingency) = .491; _ηp2_(skin conductance responses, day 2: contingency X extinction status) &lt; .001 (ns); _d_ (diffSCR, extinction learning vs. extinction recall) = .269; _d_ (diffSCR, fear acquisition vs. extinction recall) = .069; _ηp2_(diffSCR, day 2: estradiol status) = .137; _d_ (one-sided; diffSCR, MC women vs. OC women) = .615; _d_ (one-sided; diffSCR, MC women vs. men) = .879; _ηp2_(estradiol status, FRI vs. ERI) = .103; _d_ (one-sided; FRI, MC women vs. OC women) = .639; _d_ (one-sided; ERI, MC women vs. OC women) = .547; _d_ (one-sided; FRI, MC women vs. men) = .928; _d_ (one-sided; ERI, MC women vs. men) = .796; _ηp2_(theta oscillations, electrode) = .119;  _ηp2_(theta oscillations, electrode X contingency) = .730; _ηp2_(dACC source, contingency effect) = .090; _ηp2_(dACC source, contingency X extinction status) = .023; _ηp2_(dACC source, contingency X estradiol status) = .100; _d_ (one-sided; differential theta power in dACC, MC women vs. OC women) = .609; _d_ (one-sided; differential theta power in dACC, MC women vs. men) = .741; _ηp2_(frontal theta power during extinction learning, contingency factor) = .061.Chen et al.: NA; results replicated by intracranial EEG. Mueller and  Pizzagalli: ES=NA; replicated during a fear recall test one year after conditioning. Sperl et al.: ES=NA; results replicated and extended by simultaneous EEG-fMRI. B Starita et al.: replicated and extended by reversal learning, main effect of CS type in midcingulate cortex _ηp2_=.37 [0.08, 0.56]."
Neuroscience (humans,Fear conditioning - Late Positive Potential (LPP),"Fear conditioning leads to elevated amplitudes during the time period of the Late Positive Potential (LPP), i.e., a positive-going event-related brain potential (ERP) component​ that can be recorded using electroencephalography (EEG",Bacigalupo and Luck: NA.  Ferreira de Sá et al.: _d _= 1.490 and _d _= 1.149.  Panitz et al.: _d_=0.66. Pastor et al.: NA. Pavlov & Kotchoubey: _ƞ2_ = 0.41.Seligowski et al.: _d _= 0.336. Stolz et al.: _ηp2_ = 0.23. Sperl et al.: NA.
Neuroscience (humans,Fear conditioning - Bradycardia / heart rate modulation,Fear conditioning leads to heart rate slowing (fear-conditioned bradycardia,"Castegnetti et al.: NA (replicated). Deane and Zeaman: NA (replicated). Gruss: NA (replicated, heart rate modulation depending on COMT genotype). Panitz et al.: _ηp2_=.281 (replicated, heart rate modulation depending on COMT genotype). Mueller et al.: study 1: _ηp2_=.08, study 2: _ηp2_=.07 (replicated, use of an aversive imagery unconditioned stimulus; paper includes two datasets with independent samples, effect can be replicated). Schipper et al.: NA (replicated, heart rate modulation depending on 5-HTTLPR genotype). Sperl et al.: _d_ = 1.17 (replicated).Thigpen  et  al.: all _d_s>.8 (replicated).  Yin et al.: NA (replicated)."
Neuroscience (humans,Bouba/kiki effect,"sound symbolism). When presented with sounds (e.g., the words “bouba” and “kiki”) and visual objects (e.g., a curvy shape and a spiky shape), humans make non-arbitrary mappings between sounds and objects (e.g., the curvy shape is consistently called “bouba”","Ćwiek et al.: Hedge’s _g_=0.106 [0.029, 0.154] (calculated). Fort et al.: Hedge’s _g_=0.163 [0.088, 0.238]."
Neuroscience (humans,Human freezing like behaviour (postural sway) in threat processing,"Human freezing behaviour **(postural sway). A physiological response that occurs in response to a perceived threat. Overall, freezing-like behaviour has been replicated in multiple studies across different species and contexts, and is considered a robust and reliable measure of fear and anxiety",Gladwin et al.: replicated (NA). Hashemi et al.: replicated (NA).  van Ast et al.: _ηp2_= .18-.41.
Neuroscience (humans,Glucose amplification of cortisol stress reactivity,"After fasting, the administration of glucose prior to psychosocial stress or a nicotine challenge led to an increased cortisol stress response (in comparison to water administration). ​Blood glucose levels were positively associated with the cortisol stress response triggered by the Trier Social Stress Test (TSST","Bentele et al.: NA, replicated the enhancing effect of glucose administration on the cortisol stress response to the TSST in females.  Gonzalez-Bono et al.: NA, but replicated both the increased cortisol stress response after glucose consumption and the significant association between blood glucose levels and the cortisol stress response. Meier et al.: NA, replicated the enhancing effect of glucose administration on the cortisol stress response to the TSST in females; no correlation between blood glucose levels and the cortisol stress response. Rüttgens and Wolf: NA, could neither replicate the enhancing effect of glucose on the cortisol response to a socially-evaluated cold pressor test, nor did they find a correlation between blood glucose levels and the cortisol stress response (SE-CPT). Von Dawans et al.: ηp2=0.042, replicated the increased cortisol stress response after glucose administration in response to the TSST and the cold pressor test (CPT), yet they note that the effect seems to descriptively stronger for the psychosocial stressor (TSST).  Zänkert et al.: η2=0.077-0.082, replicated the increased cortisol stress response after grape juice and glucose administration."
Neuroscience (humans,Resting-state functional connectivity patterns can accurately classify individuals diagnosed with depression,Multivariate pattern analyses can identify patterns of resting-state functional connectivity that successfully differentiate individuals with depression from healthy controls. This finding demonstrates the potential utility of resting-state functional connectivity as a biomarker of depression,"Bhaumik et al.: 76.1% (CV); 77.8%. (Hold-out validation). Lord et al.: 99.3% (CV). Zeng et al. /[ Zeng et al.](https://onlinelibrary.wiley.com/doi/full/10.1002/hbm.22278?casa_token=KhNrlpJSuEMAAAAA%3AgX--yTNn5gGVQEFu-eiViXFiz0dWAiWaXimXjRwjuTUDxeDqPJuBIwt_ZUJJnakUfLBQuKeuyavv5p8O)/ [Ma et al.](https://www.sciencedirect.com/science/article/pii/S0006899312018483?casa_token=odJw9HqyrvUAAAAA:8vuFDXSdWcjdllXRueqsk3CEffuGKGpRl_uDbabFGlBWIepZjFTrUUlyMZqlsCn-8bLcj-3X1xk#s0025)/[ Qin et al.](https://journals.lww.com/neuroreport/Abstract/2015/08020/Predicting_clinical_responses_in_major_depression.3.aspx): 69.8–96.2% (CV). Yu et al.: 80.9% (CV). Guo et al.: 90.5% (CV). Cao et al.: 84.2% (CV). Ramasubbu et al.: 49–66% (CV) – mixed, only significant in group with most severe symptoms. Sundermann et al.: no significant results in main analysis on whole sample (ES not reported); only significant in group with most severe symptoms 40.8 to 65.0% (CV), 54.2-61.7 (hold-out validation)."
Neuroscience (humans,Mozart effect on epilepsy,Listening to Mozart’s sonata KV448 can reduce or prevent epileptic seizures.​,"Bodner et al.: ES not reported, but significant (_p_ = 0.024) decrease in seizures of 24% from baseline in the treatment group, in contrast to a 9.6% increase in seizures in the control group. D’Alessandro et al.: significant differences existed between treatment and baseline periods (_p_=0.009) as well as the control period (_p_=0.003), _g_=0.08 to 1.04 (reported in Oberleiter & Pietschnig)._ _All reported in Oberleiter & Pietschnig: Independent-groups pretest–posttest designs examining KV448 versus silence – Bergoni et al.: _g_=1.65 [1.12, 2.19]. Paprad et al.: _g_=0.10 [-0.65, 0.84]. Vibrasiute: _g_=-0.61 [-1.62, 0.40]. One-group pretest–posttest designs examining KV448 versus silence – D’Alessandro et al.: Group A – _g_=0.08 [-0.59, 0.76], Group B – _g_=0.20 [-0.49, 0.88]. Rafiee et al.: Group A – _g_=1.04 [0.09, 1.99], Group B – _g_=0.06 [-0.62, 0.73]. Grylls et al.: _g_=0.04 [-0.24, 0.33]. Štilova et al.: _g_=0.29 [-0.16, 0.75]. One-group pretest–posttest designs examining other music versus silence – Coppola et al.: _g_=0.74 [0.12, 1.37]. Rafiee et al.: Group A – _g_=0.36 [-0.38, 1.10], Group B – _g_=-0.13 [-0.80, 0.55]. Grylls et al.: _g_=-0.03 [-0.32, 0.26]. Štilova et al.: _g_=-0.21 [-0.66, 0.23]. Oberleiter & Pietschnig:_ g=_ 0.09 to 0.43.​"
Neuroscience (humans,Effect of Alzheimer's disease on financial capacity performance in older adults,Effect of Alzheimer’s disease on financial capacity performance in older adults**. The influence of neurodegeneration as presented in patients with a diagnosis of Alzheimer’s disease on financial capacity tasks.​,Giannouli et al.: _η2_ = 0.75.
Neuroscience (humans,Effect of Parkinson's disease on financial capacity performance in older adults,Effect of Parkinson’s disease on financial capacity performance in older adults.** The influence of neurodegeneration as presented in patients with a diagnosis of Parkinson’s disease on financial capacity tasks,"Giannouli & Tsolaki: Statistically significant differences were found for Parkinson's disease patients with and without depression and older adults with depression and healthy controls regarding financial capacity as examined by LCPLTAS (which is equivalent to FCI) [_F_(3, 56) = 50.07, _p_ &lt; 0.001, _η_2 = 0.7284]."
Neuroscience (humans,Effect of Mild Cognitive Impairment on financial capacity performance in older adults,Effect of Mild Cognitive Impairment (MCI) on financial capacity performance in older adults. **The influence of neurodegeneration as presented in patients with a diagnosis of Mild Cognitive Impairment on financial capacity tasks,"Giannouli & Tsolaki: LCPLTAS: _η_2 = 0.392 regarding all four groups: MCI patients (amnestic single and multiple domain), mild Alzheimer's Disease patients and healthy controls. Jekel et al.: _d_= 0.87 to 1.83."
Neuroscience (humans,Effect of frontotemporal dementia on financial capacity performance in older adults,The influence of neurodegeneration as presented in patients with a diagnosis of frontotemporal dementia on financial capacity tasks,"Giannouli & Tsolaki: Statistically significant differences were found regarding  the financial capacity as examined by LCPTLAS full-form [_t_(54) = 10.411, _p_ &lt; .001, _d_ estimated with SPSS= 0.82.] for healthy controls and FTD patients."
Neuroscience (humans,Fear Conditioning - Association between cortical thickness of the medial orbitofrontal cortex (mOFC) and the extinction retention index (ERI),Fear Conditioning - Association of cortical thickness of the medial orbitofrontal cortex (mOFC) and the extinction retention index (ERI)** (Brain-behaviour relationships in fear conditioning). The relationship between the thickness of the mOFC and the extinction retention index in fear conditioning paradigms.​,Rauch et al.: _r_ = .76 to _r_ = .81 (extinction retention in SCR). Hartley et al.: _r_ = .83 (extinction retention in SCR).
Neuroscience (humans,Fear Conditioning - Association between cortical thickness of the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training,Fear Conditioning - Association of cortical thickness between the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training** (Brain-behaviour relationships in fear conditioning). The relationship between the thickness of dACC and conditioned responding during fear acquisition training in fear conditioning paradigms.​,"Hartley et al.: ES not reported. Winkelmann et al.: ES not reported. Ehlers et al.: _r_ = .22 (SCRs), _r_ = .26 (fear ratings)."
Neuroscience (humans,Fear Conditioning - Association between amygdala volume and conditioned responding during acquisition training,Brain-behaviour relationships in fear conditioning). The relationship between the subcortical volume of the amygdala and conditioned responding during acquisition training in fear conditioning paradigms.​,"Winkelmann et al.: _r_ = .28 to _r_ =.33 (SCR). Abend et al.: ES not reported. Abend et al.: ES not reported. Ehlers et al.: _r_ = .17 (SCRs), _r_ = .20 (fear ratings)."
Psychiatry/Mental Health,Low self-esteem on poor mental health/psychological outcomes,"Poor self-esteem results in a decrease in self-appreciation, producing self-defeating attitudes, poor mental health, social problems or risk behaviours","Baumeister et al.: theoretical review, not reported; Showed some mixed evidence but mostly refuted claims. They found self-esteem was not related to smoking, alcohol, drug use; seemed to be only minimally associated with interpersonal success; Relationship with school performance seems to be that better school performance leads to higher self-esteem rather than the other way around. Self-esteem was moderately correlated with depression. Keane and Loades: _d_ = 0.37 - 2.26 for the co-occurence of self-esteem and mental health diagnoses (i.e., anxiety and depressive disorders)."
Psychiatry/Mental Health,Rorschach Test,"Rohrschach inkblot test). A diagnostic tool for psychiatric conditions in which subjects' perceptions of inkblots are recorded and analysed using psychological interpretation, complex algorithms, or both","Garb/Lilienfeld et al.: These indicate that clinicians with access to questionnaire data or life histories of patients use data from the Rorschach test, their predictive accuracy actually decreases, possibly because they place more weight on the Rorschach results which are lower quality than data from other sources. Mihura:the mean validity _r_ = .27 (for externally assessed criteria) as compared to _r_ = .08 (for introspectively assessed criteria, e.g., self-report). Wood et al.: Test has some merit in detecting thinking disorders (although this is thought to be non-projective rather than projective which is meant to be the intention of the test; Dawes 1994) but is not related to other conditions such as depression, anxiety, antisocial personality disorder."
Psychiatry/Mental Health,Lunar effect,Transylvania effect). Full moons lead to strange occurrences in human behaviour. ​,"All reported in Rooton and Kelly (1985): Homicides - Frey et al.: (Cohen’s) _h_=.06. Lester:_ rpb_=.10. Lieber and Sherin: _h_=.00 to _h_=.02. Pokorny: _h_=-.01. Pokorny and Jachimczyk: _h_=.00. Tasso and Miller: _h_=.18. Combined probabilities for lunar indexes (full moon) Unweighted _Z = _0.93 (n.s.); Criminal offences - Forbes andLebo: _h_=-.01. Frey et al.: _h_=.00.  Purpura: _h_=.03. Tasso andMiller: _h_=.04. Combined probabilities for lunar indexes (full moon) Unweighted _Z = _2.78 (significant); Suicide and Self-harm - DeVoge and Mikawa:_ h_=-.02. Frey et al.: _h_=.00. Garth and Lester: _h_=.01. Jones and Jones: _h_=-.01. Lester: _rpb_=-.03. Lester et al.: _h_=.07. Ossenkamp and Ossenkamp: _h_=.01. Pokorny: _h_=.03. Taylor and Diespecker: _h_=.04. Combined probabilities for lunar indexes (full moon) Unweighted _Z = _0.80 (n.s.); Psychiatric disturbances – Angus: _h_=-.04 to _h_=.08. Chapman: _h_=.09. Frey et al.: _h_=.00. Gilbert: _r_=-.13 to _r_=-.02. Templer and Veleber: _h_=.08. Combined probabilities for lunar indexes (full moon) Unweighted _Z = _0.37 (n.s.); Psychiatric admissions - Bauer and Hornick: _h_=.00. Blackman and Catalina: _rpb_=.54. Climent and Plutchik: _h_=.00 to _h_=-.04. Edelstein et al.: _h_=.03. Geller and Shannon: _h_=.04. Osborn: _h_=.06. Pokorny: _h_=-.02. Walters et al.:_ rpb_=-.67. Weiskott and Tipton: _h_=.03. Combined probabilities for lunar indexes (full moon) Unweighted _Z = -_0.09 (n.s.)Crisis calls – Angus: _h_=.02. DeVoge and Mikawa: _h_=-.03. Michelson et al.: _r_=.01. Templer and Veleber: _h_=-.11. Weiskott: _h_=.08. Combined probabilities for lunar indexes (full moon) Unweighted _Z = _0.27 (n.s.). Gutiérrez-Garcia and Tusell: ES not reported, but no relationship between lunar phases and suicide. Kamat et al. 2014: ES not reported but no statistical difference when comparing the number of psychiatric-related visits between the actual full moon day and the controls at 7 and 10 days (P = 0.7608 and P = 0.8323, respectively). Kung and Mrazek: ES not reported, but t test (not reported) showed no significant differences between the number of patients seen on full-moon (M=2.30) and non-full-moon nights (M=2.32). "
Psychiatry/Mental Health,Lack of a Theory of Mind in autistic people,Lack of a Theory of Mind is universal in autism**. All autistic people fail to understand that other people have a mind or that they themselves have a mind,Gernsbacher and Yergeau: pooled _d _= −0.039. 
Psychiatry/Mental Health,Childhood adversity and drug liking/enjoyment,Childhood adversity and drug-induced feeling good and drug liking**. Childhood adversity increases drug liking and feeling good,liking _b_=−0.06 and feeling good _b_=0.01.
Psychiatry/Mental Health,Early Life Adversity and (Adult) Depression,Early life adversity (childhood maltreatment) is associated with higher depression symptoms,"Humphreys et al.: Z=.35 [.32, .38]. Koppold et al.: _d_=34.96. Li et al.: OR= 2.03 [1.37, 3.01]. Nanni et al.: OR = 2.27 [1.80, 2.87]. Nelson et al.: OR=2.66 [ 2.38, 2.98] to 3.73 [2.88, –4.83]. \"
Psychiatry/Mental Health,Lead and criminality,Excess risk for criminal behavior in adulthood exists when an individual is exposed to lead in utero or in the early years of childhood.​,"All reported in Talayero et al.: Dietrich et al.: β= 0.192 (self-report), β=0.194 (parental report). Wright et al.:  Adult arrests Incidence rate ratios (IRR) = 1.15 [1.03, 1.27], Violent arrests IRR = 1.17 [0.98, 1.40] (n.s.), Drug arrests IRR =1.21 [1.02, 1.43], Property arrests IRR =0.96 [0.80, 1.14] (n.s.), Lifetime arrests IRR =1.16 [1.06, 1.28]. Sampson & Winter: Lead and antisocial behavior OLS = 0.22 [0.00, 0.45] (n.s.), Lead and Arrests OLS = -0.06 [-0.16, 0.03] (n.s.), Lead and violent arrests OLS = 0.02 [-0.07, 0.11] (n.s.), Antisocial behavior and arrests OLS = 0.56 [0.18, 0.94], Antisocial behavior and violent arrests OLS = 0.55 [0.08, 1.03]. Aizer & Currie: Juvenile or adult detentions or incarceration OLS = 0.0014. Emer et al: Firearm violence perpetration risk ratio (RR) Peak ≥ 5 &lt; 10 μg/dL: 2.5 [1.5, 4.1], Peak ≥10 &lt; 20 μg/dL: 3.1 [1.9, 5.2], Peak ≥20 μg/dL: 3.5 [2.1, 5.8]. Wright et al.:  Adult arrests IRR = 1.03 [0.99, 1.08] (n.s.), Violent arrests IRR = 1.01 [0.94, 1.09] (n.s.), Drug arrests IRR = 1.06 [0.98, 1.15] (n.s.), Property arrests IRR = 1.03 [0.96, 1.11] (n.s.), Lifetime Arrests IRR = 1.02 [0.97, 1.07] (n.s.). Dietrich et al.: Delinquent Behavior β = 0.101 (Self-Report) (n.s.), β = 0.090 (Parental Report) (n.s.). Wright et al: Adult arrests IRR = 1.07 [1.01, 1.13], Violent arrests IRR = 1.04 [0.96, 1.14] (n.s.), Drug arrests IRR = 1.13 [1.03, 1.24], Property arrests IRR = 1.02 [0.93, 1.12] (n.s.), Lifetime arrests IRR = 1.06 [1.00, 1.13]. Wright et al.: Adult arrests IRR = 1.07 [1, 1.14], Violent arrests IRR = 1.08 [0.96, 1.21] (n.s.), Drug arrests IRR = 1.17 [1.02, 1.33], Property arrests: IRR = 1 [0.89, 1.12] (n.s.), Lifetime arrests IRR = 1.08 [1.01, 1.16]. Dietrich et al: Delinquent Behavior β = 0.193 (Self-Report), β = 0.131 (Parental Report) (n.s.). Renzetti et al.:  Rule breaking behavior Tobit regression Tobit marginal effect coefficients = 1.3 [−0.3, 2.9] (n.s.), Aggressive Behavior Tobit regression Tobit marginal effect coefficients = 2.2 [0.5, 4.0]. Needleman et al.: Delinquency OR = 1.89 [0.83, 4.3] (Parent report), OR = 2.16 [0.96, 4.6] (Teacher report). Beckley et al.: Criminal convictions OR = 1.23 [1.00, 1.51], One time offense OR = 1.25 [0.95, 1.64] (n.s.), Recidivistic offender OR = 1.21 [0.93, 1.57] (n.s.), Nonviolent offender OR = 1.28 [1.01, 1.61], Violent offender OR = 1.13 [0.82, 1.55] (n.s.). Nkomo et al.: Violence using a weapon β = -0.07 (n.s.), Physical violence β = 0.26, Fighting β = 0.08 (n.s.), Sexual harassment β = 0.01 (n.s.), Robbing β = -0.03 (n.s.), Verbal and emotional abusive behavior β = -0.05 (n.s.). Nkomo et al.: 5–9.99 μg/dl – Indirect aggression β = 0.01 (n.s.), Direct Aggression β = -0.07 (n.s.), Disobedience β = 0.10 (n.s.); >10 μg/dl – Indirect aggression β = 0.26 (n.s.), Direct Aggression β = 0.34, Disobedience β = 0.28 (n.s.). Olympio et al.: Aggressive behavior OR = 1.31 [0.42, 4.09] (n.s.), Rule-breaking behavior OR = 3.72 [0.99, 14.04] (n.s.), Self-Reported delinquency OR = 0.93 [0.40, 2.20] (n.s.). Needleman et al: Arrest or adjudication as delinquent by juvenile court OR = 3.7 [1.3, 10.5]. Naicker et al.: Hostility OR = 2.83 [1.103, 7.261]. Tlotleng et al.: Anger β = 0.25, Physical Aggression β = 0.093 (n.s.), Verbal Aggression β = 0.093 (n.s.), Hostility β = 0.030 (n.s.)."
