Discipline,Effect,Description,Paper title,Paper ref,Link,doi,Paper Notes,Citations,N orig
Cognitive Psychology,Mood-dependent retrieval,"mood-dependent memory, state dependent memory, encoding specificity). Memory is enhanced when an individual’s mood (i.e., emotional state) at retrieval matches their mood at encoding","Emotional mood as a context for learning and recall,",Bower et al. 1978,https://doi.org/10.1016/S0022-5371(78)90348-1,10.1016/S0022-5371(78)90348-1,"three between-subjects experiments, Exp. 1: n = 10, Exp. 2: n = 16, Exp. 3: n = 24","741 (GS, January 2023)]​",10 & 16 & 24
Cognitive Psychology,Positive emotions broaden scope of attention,People experiencing positive emotions exhibit broader scopes of attention than do people experiencing no particular emotion,Positive emotions broaden the scope of attention and thought‐action repertoires,"Fredrickson and Branigan, 2005",https://www.tandfonline.com/doi/abs/10.1080/02699930441000238,10.1080/02699930441000238,"between-subjects design, n=104","5037 (GS, March 2023)",104
Cognitive Psychology,Emotional information facilitates response inhibition,"Response inhibition refers to suppression of prepotent responses which are inappropriate to current task demands. In the lab setting, this is investigated with a stop signal task. The effect showed that both fearful and happy faces as stop signals facilitated response inhibition relative to neutral ones","Interactions between cognition and emotion during response inhibition,",Pessoa et al. 2012,https://psycnet.apa.org/doi/10.1037/a0024109,10.1037/a0024109,"within-subjects design, n=36","245 (GS, March 2023)",36
Cognitive Psychology,Inhibition-induced devaluation,"Inhibition induced devaluation.** Inhibition-induced devaluation refers to reduced response to stimuli which were previously inhibited. This effect results in participants bidding less for shapes that were paired with stop-signals, giving less trustworthiness rating for faces previously paired with stop signals. This effect has several implications for behaviour modification techniques",When approach motivation and behavioral inhibition collide: Behavior regulation through stimulus devaluation,Veling et al. 2008,https://doi.org/10.1016/j.jesp.2008.03.004,10.1016/j.jesp.2008.03.004,"within-subjects design, Exp 1: n=33, Exp 2: n=47, Study 3: n=40","189 (GS, March 2023)",33 & 47 & 40
Cognitive Psychology,Inhibition induced forgetting,Inhibition-induced forgetting refers to impaired memory for the stimuli to which responses were inhibited,Inhibition-induced forgetting: when more control leads to less memory,Chiu and Egner 2015,https://journals.sagepub.com/doi/pdf/10.1177/0956797614553945,10.1177/0956797614553945,"within-subjects design, Exp 1: n=54, Exp 2: n=54, Exp 3: n=53","77 (GS, March 2023)",54 & 54 & 53
Cognitive Psychology,Semantic Richness Effects in Lexical-Semantic Processing: Body-object Interaction Effect,"Body-object interaction (BOI) effect in lexical-semantic processing.** Words that have higher ratings on the BOI measure receive faster responses (RTs) in lexical-semantic tasks (e.g., lexical decision, semantic decision). The BOI quantifies the ease with which the human body can physically interact with a word’s referent. The BOI effect is thought to show that sensorimotor information contributes to word meaning, providing support for embodied theories of semantic representation",Evidence for the activation of sensorimotor information during visual word recognition: The body–object interaction effect,Siakaluk et al. 2008,https://linkinghub.elsevier.com/retrieve/pii/S0010-0277(06)00266-6,,"experimental within-subjects design (high-BOI vs low-BOI), Study 1: n=30, Study 2: n = 30","172 (GS, April 2023)",30 & 30
Cognitive Psychology,False memory implantation,"false memory fabrication). **People fabricate false memories after the suggestion that it happened. After discussing their memories with a researcher, participants reported a false memory",The formation of false memories,Loftus & Pickrell 1995,https://journals.healio.com/doi/epdf/10.3928/0048-5713-19951201-07,10.3928/0048-5713-19951201-07,"one experimental condition, n = 24","1813(GS, June 2023)",24
Cognitive Psychology,Serial dependence,"Serial dependence describes a visual bias that a reported item (e.g., orientation) is systematically attracted towards the previous reported item",Serial dependence in visual perception,Fischer & Whitney 2014,https://doi.org/10.1038/nn.3689,10.1038/nn.3689,"experiment, n=12","654 (GS, June 2023)]​",12
Cognitive Psychology,Modality-switching cost,"modality switch effect). When verifying object properties, processing is slowed when the modality being processed is different from the modality processed in the preceding trial. The presence of the switching cost suggests that people represent semantic information in a modality-specific, rather than amodal or abstract, manner.​",Verifying different-modality properties for concepts produces switching costs,Pecher et al. 2003,https://journals.sagepub.com/doi/pdf/10.1111/1467-9280.t01-1-01429,10.1111/1467-9280.t01-1-01429,"repeated measures design, Experiment 1: n = 64, Experiment 2: n = 88","485 (GS, June 2023)]​",64 & 88
Cognitive Psychology,Tactile Disadvantage,"conceptual tactile disadvantage). Participants find it more difficult and are slower to process words strongly related to the tactile modality (e.g., _sticky_), compared to processing words from other modalities (visual, auditory etc.). The presence of this conceptual tactile disadvantage mirrors a similar disadvantage observed in perceptual processing, where tactile stimuli are slower and more difficult to process than visual or auditory stimuli.​",Look but dont touch: Tactile disadvantage in processing modality-specific words,Connell & Lynott 2010,https://journals.sagepub.com/doi/pdf/10.1111/1467-9280.t01-1-01429,10.1111/1467-9280.t01-1-01429,"repeated measures design, Experiment 1: n = 45, Experiment 2: n = 46, Experiment 3: n = 60","74 (GS, June 2023)]​",45 & 46 & 60
Cognitive Psychology,Perceptual strength in lexical processing,visual lexical decision task). Concepts that are rated as being more strongly linked to perceptual experience are processed more quickly than those more weakly linked to perceptual experience. This pattern suggests a sensory basis for conceptual representations.​,"Strength of perceptual experience predicts word processing performance better than concreteness or imageability,","Connell & Lynott, 2012",https://www.sciencedirect.com/science/article/pii/S0010027712001606,,"within-subjects design, concreteness and imageability of abstract concepts were tested, n = 592 items","250 (GS, July 2023)]​",592
Cognitive Psychology,Semantic richness in lexical processing,"visual lexical decision task). Concepts that are associated with a larger amount of semantic information (e.g., larger number of features, greater semantic neighbourhood density) are processed more quickly in tasks that require semantic processing. This pattern suggests that richer semantic representations (i.e., more semantic information) facilitate semantic processing",The impact of feedback semantics in visual word recognition: Number-of-features effects in lexical decision and naming tasks.,Pexman et al. 2002,https://link.springer.com/content/pdf/10.3758/BF03196311.pdf,10.3758/BF03196311.pdf,"regression design, Experiment 1a: n = 40, Experiment 1b: n = 38, Experiment 1c: n = 35","218 (GS, June 2023)]​",40 & 38 & 35
Cognitive Psychology,Temporal doppler effect,Subjective perception that the past is further away than the future,The Temporal Doppler Effect: When the Future Feels Closer Than the Past,Caruso et al. 2013,https://doi.org/10.1177/0956797612458804,10.1177/0956797612458804,within-subjects; Study 1a: n = 95; Study 1b: n = 98; Study 2: n = 323,"121 (GS, June 2023)]​",95 & 98 & 323
Cognitive Psychology,Contextual cueing,"Compared to novel contexts (i.e., spatial arrangements), repeated contexts yield faster response times in visual search without consciously recognizing the context as repeated",Contextual Cueing: Implicit Learning and Memory of Visual Context Guides Spatial Attention,Chun & Jiang 1998,https://doi.org/10.1006/cogp.1998.0681,10.1006/cogp.1998.0681,"experiment, 16","2425(GS, June 2023)]​",
Cognitive Psychology,Search initiation effect,"In a repeated search task, the very first search takes substantially longer than all subsequent searches, implying that most information is processed and learned during the first search which can then be used to guide subsequent searches efficiently.​",Get Your Guidance Going: Investigating the Activation of Spatial Priors for Efficient Search in Virtual Reality,Beitner et al. 2021,https://doi.org/10.3390/brainsci11010044,10.3390/brainsci11010044,"experiment, n=27","14(GS, June 2023)]​",27
Cognitive Psychology,Attentional blink,"The attentional blink describes the phenomenon that in a rapid serial visual presentation ​of items, humans show a reduced ability to detect the second of two targets among distractors if the second target follows after approximately 200ms – 500ms after the first target. This effect is interpreted as displaying one of the limitations of human visual processing",From detection to identification: Response to multiple targets in rapid serial visual presentation,Broadbent & Broadbent 1987,https://doi.org/10.3758/BF03210498,10.3758/BF03210498,"experiment, n=20","873(GS, June 2023)",20
Cognitive Psychology,Emotional attentional blink,"emotion-induced blindness). Similar to the attentional blink, a target among distractors in a rapid serial visual presentation of images is missed, if it was preceded by an emotionally arousing image. Importantly and in contrast to the attentional blink phenomenon, the emotionally ​arousing image is task-irrelevant",Attentional rubbernecking: cognitive control and personality in emotion-induced blindness,Most et al. 2005,https://doi.org/10.3758/bf03196754,10.3758/bf03196754,"experiment, n=21","536(GS, June 2023)]​",21
Developmental Psychology,Growth mindset,Thinking that skill is improvable on attainment,Implicit theories and their role in judgments and reactions: A word from two perspectives,Dweck 1995,https://www.tandfonline.com/doi/abs/10.1207/s15327965pli0604_1,10.1207/s15327965pli0604_1,"correlational and test-retest design, n=638","3311 (GS, April 2023)",638
Developmental Psychology,"Expertise attained after 10,000 hours practice","The notion that it takes around 10,000 hours of practice to become an expert in a particular field or domain. Specifically, that deliberate practice explains from most to all of the variance in (expert) performance in sports",he Role of Deliberate Practice in the Acquisition of Expert Performance,Ericsson et al. 1993,https://psycnet.apa.org/buy/1993-40718-001,,"quasi-experimental and correlational study, Study 1: N=30, Study 2: N=24","14039 (GS, February 2023)",30 & 24
Developmental Psychology,Tailoring to learning styles,Tailoring teaching to students’ preferred learning styles has any effect on objective measures of attainment,Learning style inventory: technical manual,"Kolb, 2005",https://www.researchgate.net/profile/David-Kolb-2/publication/241157771_The_Kolb_Learning_Style_Inventory-Version_31_2005_Technical_Specifi_cations/links/555910f508aeaaff3bf98ca9/The-Kolb-Learning-Style-Inventory-Version-31-2005-Technical-Specifi-cations.pdf,,"manual, n=NA","1300 (GS, May 2023)]. [Learning styles and learning spaces: enhancing experiential learning in higher education](https://www.jstor.org/stable/pdf/40214287) , Kolb, and Kolb 2005; theoretical paper, n=NA.  [Citations=7679 (GS, March 2023)",
Developmental Psychology,Neonate imitation,Babies are born with the ability to imitate,Imitation of facial and manual gestures by human neonates,Meltzoff and Moore 1977,https://www.science.org/doi/pdf/10.1126/science.198.4312.75,10.1126/science.198.4312.75,"observational and experimental design, 2 studies with: Study 1: n=6, Study 2: n=12","5311 (GS, December 2021])​",6 & 12
Developmental Psychology,Violent media content on aggression,"Violence content in media can affect people to be more aggressive. Notably, the studies of this effect differ by media (TV, games, etc.) and whether long, medium, or short-term effects have been investigated. The variety of methods/tests further complicates the literature. Distinct media types are marked for each reference below",Transmission of aggression through imitation of aggressive models,Bandura et al. 1961,https://media.thuze.com/MediaService/MediaService.svc/constellation/book/AUPSY330.12.2/%7Bpdfs%7Dch_1_transmission_of_aggression_bandura.pdf,,"experimental design, n = 72","4151 (GS, March, 2022)",72
Developmental Psychology,Mutual exclusivity bias,"When presented with two objects, one of which has a known label and one which does not, infants (by ~20mo) are more likely to choose the object without a known label when prompted with a novel label",Childrens use of mutual exclusivity to constrain the meanings of words,Markman and Wachtel 1988,https://www.sciencedirect.com/science/article/pii/0010028588900175,,"two-alternative forced choice task, Study 1: n=20. [Citations=1524 (GS, February 2023)].",,20.
Developmental Psychology,Mutual exclusivity bias - bilinguals,Mutual exclusivity bias in bilinguals**. Bilingual (and multilingual) infants exhibit delayed and/or lower mutual exclusivity bias than monolingual infants,Monolingual and bilingual childrens use of the mutual exclusivity constraint,Davidson et al. 1997,https://www.cambridge.org/core/journals/journal-of-child-language/article/monolingual-and-bilingual-childrens-use-of-the-mutual-exclusivity-constraint/75534246BDD513B6C44FB47A6D8F30BD,,"two-alternative forced choice task, n=96. [Citations=130 (GS, February 2023)].",,96.
Developmental Psychology,Abstract rule learning,"After training on strings on stimuli generated from a particular repetition pattern (e.g., AAB), young infants attend longer to novel stimuli generated from a novel pattern (e.g., ABA) than novel stimuli generated from the original pattern",Rule learning by seven-month-old infants,Marcus et al. 1999,https://www.science.org/doi/10.1126/science.283.5398.77,10.1126/science.283.5398.77,"preferential looking time, Experiment 1: n=16. [Citations=1707 (GS, February 2023)].",,16.
Developmental Psychology,Theory of mind – below-4 year olds,Theory of mind in below-4 year olds **(false belief). Children under four years of age fail at theory of mind tasks,Beliefs about beliefs: Representation and constraining function of wrong beliefs in young childrens understanding of deception,Wimmer and Perner 1983,https://www.sciencedirect.com/science/article/pii/0010027783900045,,"false belief task with pointing, Experiment 2: n=10. [Citations=9112 (GS, February 2023)].",,10.
Developmental Psychology,Theory of mind – over development,Theory of mind over development** (false belief). Success rate at theory of mind tasks increases over age within the first 6 years of life,Beliefs about beliefs: Representation and constraining function of wrong beliefs in young childrens understanding of deception,Wimmer and Perner 1983,https://www.sciencedirect.com/science/article/pii/0010027783900045,,"false belief task with pointing, Experiment 2: n=34. [Citations=9112 (GS, February 2023)].",,34.
Developmental Psychology,Preference for prosocial agents,Infants and toddlers prefer prosocial agents over neutral or antisocial agents,Social evaluation by preverbal infants,Hamlin et al. 2007,https://www.nature.com/articles/nature06288,,"preferential reaching task, n(6mo)=12, n(10mo)=16. [Citations=1890 (GS, February 2023)].",,
Developmental Psychology,Flynn effect,The observed rise over time in standardised intelligence test scores in the successive versions of Stanford-Binet and Wechsler intelligence tests. This effect points toward an increase in “intelligence” in the next generation compared to the previous generation,The Mean IQ of Americans: Massive Gains 1932 to 1978,"Flynn, 1984",http://www.iapsych.com/iqmr/fe/LinkedDocuments/flynn1984b.pdf,,"meta analysis, k=73, n=7431","1852 (GS, March 2023)",7431
Developmental Psychology,Do children overhear to learn new words?,Children were equally good at learning novel words- when they were overhearers as when they were directly addressed,"Learning Words through Overhearing,",Akhtar et al. 2001,https://srcd.onlinelibrary.wiley.com/doi/abs/10.1111/1467-8624.00287?sid=nlm%3Apubmed,10.1111/1467-8624.00287?sid=nlm:pubmed,"experiments, Experiments 1A and 1B: n = 24, Experiments 2A and 2B: n = 32, Experiments 3A and 3B: n = 32","484(GS, August 2023)]​",24 & 32 & 32
Differential Psychology,2D:4D ratio of the fingers,"and its correlation with psychological traits. **This ratio was used as a predictor for different interindividual (e.g., intelligence) and especially gender differences",Finger length as an index of assertiveness in women,Wilson 1983,https://doi.org/10.1016/0191-8869(83)90061-2,10.1016/0191-8869(83)90061-2,"correlational study, n = 985 females","125 (GS, January 2022)",985
Differential Psychology,Personality traits and consequential life outcomes,"Personality traits (i.e., characteristic patterns of thinking, feeling, or behaving that tends to be consistent over time and across relevant situations), particularly the Big Five factors, are linked with consequential individual, interpersonal, and social-institutional outcomes",Personality and the prediction of consequential outcomes,"Ozer and Benet-Martínez, 2006",https://www.annualreviews.org/doi/abs/10.1146/annurev.psych.57.102904.190127,10.1146/annurev.psych.57.102904.190127,review summarizes 86 associations between the Big Five traits and 49 life outcomes,"2754(GS, August 2022)",
Differential Psychology,Reading prevents cancer,Combining bibliotherapy and short-term individual therapy can reduce the probability of dying from cancer and may prolong lives of those already suffering from cancer.​,"Creative novation behaviour therapy as a prophylactic treatment for cancer and coronary heart disease: Part II—Effects of treatment, Behaviour Research and Therapy, Eysenck and Grossarth-Maticek 1991 (RETRACTED","matching control and therapy groups and randomization, 600 therapy, 500 control, 100 placebo. [citation=134(GS, January 2023",https://doi.org/10.1016/S0005-7967(09)80003-X),10.1016/S0005-7967(09)80003-X),,,
Differential Psychology,Graphology,The analysis of handwriting with the attempt to determine someone’s personality traits,Graphological analysis and psychiatry: an experimental study,Eysenck 1945,https://www.proquest.com/docview/1293548705?pq-origsite=gscholar&fromopenview=true&imgSeq=1,,"participants filled in a personality questionnaire and copied the questionnaire without filling it in, graphologist analysed it, N=50","44 (GS, January 2023)",50
Judgement and Decision Making/Behavioural Economics,Default effect,"In a choice scenario between two alternatives, when an alternative is presented as a default option, people stick with it rather than change it. For example, 'Opt Out' default organ donation policies increase organ donations",Do defaults save lives?,Johnson and Goldstein 2003,https://www.science.org/doi/full/10.1126/science.1091721,10.1126/science.1091721,"3 between-subjects experiment, N = 161","2649 (GS, June 2022)]​",161
Judgement and Decision Making/Behavioural Economics,Decoy effect,"alternatives: asymmetric dominance; attraction effect). The Decoy Effect is a cognitive bias in which an individual's preference between two options is influenced by the presence of a third, asymmetrically dominated  option (i.e., a decoy similar but inferior to one of the original options). Individuals are more likely to choose the option that is similar to the decoy option than if the decoy were absent. Decoy effect has been replicated in different studies and contexts, though the magnitude of the effect can vary, particularly depending on the specific features of the options being considered and the context in which the decisions are being made",Adding asymmetrically dominated alternatives: violations of regularity and the similarity hypothesis,Huber et al. 1982,https://doi.org/10.1086/208899,10.1086/208899,"both within and between subjects design, n = 153 (n = 93 for within)","2542 (GS, March 2023)",153 & 93
Judgement and Decision Making/Behavioural Economics,Nudges,Choice architecture interventions that promote beneficial decisions,"Nudge: Improving Decisions about Health, Wealth, and",,https://books.google.fr/books/about/Nudge.html?id=dSJQn8egXvUC&redir_esc=y,,,,
Judgement and Decision Making/Behavioural Economics,Risky choice framing effect,"term used by Levin et al., 1998) (framing effect in risky-decision making). Under loss-frame, people are risk-seeking, whereas under gain-frame, people are risk-averse. In framing studies, logically equivalent choice situations are differently described and the resulting preferences are studied. In risky choice problems, the way a choice is presented influences the decision (e.g. saving 10 people out of 100 vs losing 90 people out of 100",The framing of decisions and the psychology of choice,"Tversky and Kahnemann, 1981",https://link.springer.com/chapter/10.1007/978-1-4613-2391-4_2,10.1007/978-1-4613-2391-4_2,"experimental design, Study 1: 152; Study 2: 155; Study 3: 150; Study 4: 86; Study 5: 77; Study 6: 85; Study 7: 81; Study 8: 183; Study 9: 200; Study 10.1: 93; Study 10.2: 88; Total N = 1350 (unclear if those samples are different samples)","24617 (GS, October 2022)]​",1350
Judgement and Decision Making/Behavioural Economics,Risk and goal message framing,"a) For illness detection behaviours, loss framing (presenting information of negative consequences with undesirable behaviours / without desirable behaviours) would be more effective than gain framing (presenting information of benefits through engaging in desirable behaviours) in encouraging healthy attitudes, intentions, and behaviours (perhaps because illness detection behaviours are riskier, Rothman and Salovey, 1997), whereas b) for health-affirming behaviours, gain framing would be more effective than loss framing in motivating healthy attitudes, intentions, behaviours (perhaps because health-affirming behaviours are less risky, Rothman and Salovey, 1997",The Systematic Influence of Gain-and Loss-Framed Messages on Interest in and Use of Different Types of Health Behavior,Rothman et al. 1999,https://journals.sagepub.com/doi/10.1177/0146167299259003,10.1177/0146167299259003,"between-subject design, n=120 (Study 2)","548(GS, October 2022)]​",120
Judgement and Decision Making/Behavioural Economics,Status quo effect,"status quo bias). A cognitive bias that leads people to prefer things to stay the same, even when change may be beneficial, thus a preference for the current state of affairs",Status quo bias in decision making,Samuelson and Zeckhauser 1988,https://link.springer.com/article/10.1007/BF00055564,10.1007/BF00055564,"series of decision-making experiments, n = 486","2707(SPRINGER LINK, January 2023)]​",486
Judgement and Decision Making/Behavioural Economics,Temporal action-inaction effect,"The proposed phenomenon that people associate or experience stronger regret with action compared to inaction in the short-term, but stronger regret with inaction compared to action in the long-term. ​",The temporal pattern to the experience of regret,Gilovich and Medvec 1994,https://psycnet.apa.org/record/1995-05382-001,,"hypothetical scenario experiments and real-life experience studies, Study 1: n =60, Study 2: n=77, Study 3: n= 80, Study 4: n=34, Study 5: n=32","564(GS, June 2022)]​",60 & 77 & 80 & 34 & 32
Judgement and Decision Making/Behavioural Economics,Money market versus goods/social market,"The money market relationship refers to an exchange in which effort level is determined based on the level of compensation. By contrast, the social market relationship is an exchange in which effort level is most influenced by altruistic motivations rather than the compensation level. Heyman and Ariely (2004) proposed and showed that when the former is primed with monetary compensation, the more compensation they receive, the more effort they displayed. Yet, effort level did not vary depending on the level of compensation when the latter is primed with non-monetary compensation (i.e., goods), effort level does not depend on compensation level. ​",Effort for Payment: A Tale of Two Markets,Heyman and Ariely 2004,https://doi.org/10.1111/j.0956-7976.2004.00757.x,10.1111/j.0956-7976.2004.00757.x,"between-subjects design, n = 614 (Experiment 1)","1261(GS, June 2022)].​",614
Judgement and Decision Making/Behavioural Economics,Risk benefits negative association,Risk and benefit perceptions **(affect heuristic). Increasing risks of a hazard leads people to judge its benefits as lower while vice versa increasing benefits leads people to judge its risk as lower.​,The affect heuristic in judgments of risks and benefits,Finucane et al. 2000,https://www.researchgate.net/publication/246880280_The_Affect_Heuristic_in_Judgments_of_Risks_and_Benefits,,"A mixed 4 (between - affective information: high risk/low risk/high benefit/low benefit) x 3 (within - technologies: nuclear power/natural gas/food preservatives), n=213 participants","3694 (GS, June 2022)]​",213
Judgement and Decision Making/Behavioural Economics,Temporal value asymmetry,TVA). The phenomenon that contemplating future events elicits stronger emotions than contemplating past events has been coined “temporal value asymmetry” (TVA).  TVA was robust in between-persons comparisons and absent in within-persons comparisons,A Wrinkle in Time: Asymmetric Valuation of Past and Future Events,Caruso et al. 2008,https://www.dropbox.com/s/1jjzoapd3mv71uw/Caruso%2C%20Gilbert%2C%20%26%20Wilson%2C%202008%20PsycSci%20Asymmetric%20valuation%20of%20past%20and%20future%20events.pdf?dl=0,,"2x2 between-subject design, Study 1 n=121, Study 4 n=182","252 (GS, July 2022)",121 & 182
Judgement and Decision Making/Behavioural Economics,Exceptionality effect,"emotional amplification, normality bias, exceptional-routine effect). The affective response to an event is enhanced if its causes are abnormal. Exceptionality effect is the phenomenon that people associate stronger negative affect with a negative outcome when it is a result of an exception (abnormal behaviour) compared to when it is a result of routine (normal behaviour). The exceptionality enhances the response to an event for the emotion of regret, self-blame, the cognitive response for victim compensation and offender punishment",Norm Theory: Comparing Reality to Its Alternatives,"Kahneman and Miller, 1986",https://psycnet.apa.org/doiLanding?doi=10.1037%2F0033-295X.93.2.136,,"within subject design (exceptional vs. normal), n=92 participants","4427(GS, July 2022)]​",92
Judgement and Decision Making/Behavioural Economics,Temporal differences in trait self-ascriptions,"Much like how we are more likely to ascribe dispositional traits, as opposed to situational variables, when explaining the behaviour of other people compared to ourselves, the same asymmetry can also be observed when making trait assessments about our temporally distant selves (e.g. past or future). People are more likely to ascribe dispositional traits, compared to situational explanations, when making judgements about their past or future self",Temporal differences in trait self-ascription : When the self is seen as an other,"Pronin and Ross, 2006",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.463.8223&rep=rep1&type=pdf,,"study 1: 2 (between - temporal distance: past vs. present) x 2 (between - social distance: self vs friend); study 2: between, temporal distance - present vs future self; study 3: 3 (between - temporal distance: past vs present vs future self) x 2 (within - valence of trait attributions : positive vs negative), study 1: n=167 (students = 123, staff = 44); study 2: n=40; study 3: n=75","345(GS, June 2022)]​",167 & 40 & 75
Judgement and Decision Making/Behavioural Economics,Bias Blind Spot,The phenomenon that people perceive stronger biases for others compared to self. Pronin (2002) found support for self-other asymmetries in perceived biases but failed to find support for self-other asymmetries in perceived personal shortcomings. Chandrashekar et al. (2021) found support for self-other asymmetries for both biases and personal shortcomings.​,Perceptions of bias in self versus others,Pronin et al. 2002,https://journals.sagepub.com/doi/abs/10.1177/0146167202286008?casa_token=cHkDS3hzrTEAAAAA%3ATmU5qzKa9KkQBW7HrUf-rzvbefn80BFflYuL1kW-f_uIqF6yuhRrzi7u_0rAFdSNP_Tjc2l1FuI&journalCode=pspc,10.1177/0146167202286008?casa_token=cHkDS3hzrTEAAAAA:TmU5qzKa9KkQBW7HrUf-rzvbefn80BFflYuL1kW-f_uIqF6yuhRrzi7u_0rAFdSNP_Tjc2l1FuI&journalCode=pspc,"within-subject design, Study 1: n = 24 , Study 2: n = 30","1406 (GS, October 2022)",24 & 30
Judgement and Decision Making/Behavioural Economics,Hindsight Bias,Hindsight bias refers to the tendency to perceive an event outcome as more probable after being informed of that outcome,On the psychology of experimental surprise,Slovic and Fishhoff 1977,https://www.cmu.edu/epp/people/faculty/research/Slovic%20and%20Fischhoff-1977-on%20the%20psychology%20of%20experimental%20surprises1.pdf,,"between study design, n=184","591 (GS, October 2022)]​",184
Judgement and Decision Making/Behavioural Economics,Disjunction Effect,"The sure-thing principle (STP) posits that if decision-makers are willing to make the same decision regardless of whether an external event happens or not, then decision-makers should also be willing to make the same decision when the outcome of the event is uncertain. People regularly violate the STP – uncertainty about an outcome influence decisions.​",The Disjunction Effect in Choice under Uncertainty,Tversky and Shafir 1992,https://journals.sagepub.com/doi/10.1111/j.1467-9280.1992.tb00678.x,10.1111/j.1467-9280.1992.tb00678.x,"within and between subject design, n1=199, n2=98, n3=213, n4=171","860(GS, March 2023)]​​",
Judgement and Decision Making/Behavioural Economics,Money Illusion,"The inability of individuals to account for inflation or deflation when making decisions. If inflation, money loses value over time, leading to people to fail to consider the impact of inflation or real value of money",Money Illusion,Shafir et al. 1997,https://watermark.silverchair.com/112-2-341.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAuEwggLdBgkqhkiG9w0BBwagggLOMIICygIBADCCAsMGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMnx__u5nJ4lZcGGECAgEQgIIClG87AnREWPKasWmfkgh71nBK2rm_1csd9Mj1kn7ALj8C7zfBdyKBI3n_FDPR6L3bndORysmT8Do26nT-rv8M-J3IKRfVx4eDtWOpCQaNA_2uqZOEHaSYAeIswo0SSzEqPtOAqN-KHVm2D46T7fO1T3hyQIMoKf4MwWeNuVT0aXTx5sgaSerjcg6H33cmk6BKukk9CsEXUtTdA0xMO_WhiVRQqoY8bjbU1Asvg9vuI5L3835FutRoAX22_29CyiunraM7z9uOSRxbYgJanFgUn51xlwYtEdJRUWMPvySuc1nnweYZbzXKjd7G626hiM6Of4qW8Dw0E0KQpTax1GrUNadrVyJ4EB5Ecudw3wNiEPfrk5eAAKNwPRHCxValyyid2eq7eCuqwHqwP21Qv1GcjwPirxrPtKzkm2SWgGaoH6kXQYUL4HnE9SsrAOCVU3hNhpYuhrfoW_RylzrjApsbQxro6epmqR8SWKQG1OnJuq5QcLTuIdRe6eULSxaNbqVJOw_oqRZhk8ibG8ojvQXT61MgIL9N5zvzSispJZem0ODMtP7suam8aUwBPhmVkouZEHsGGCkRqRqehwLlEflI1HGf21qVHmNLLeXmdSGH-Gn-qlR5vNLwwWy90KJkUHH2vd53sJpucsn8jNZkHBo03rq_HbmODzd9y-rrqo9OuyysjGB3AvMeqP38AceRmXxA-vZMxus5vtSFw06Ol20CltOb4nAYxSbWuvIpfcPdUjvjSWnC0cGAPBLQnkfNH072fZscC8idjltEP3b-ov8PgWLHU-H27LH869QJq5vbiLgHf972CyhQahl-68OSC3WDjIXrMNw8_Oifkh7Ie4IFxwL5tkgSehG2YyEMEPXHuBgfCOCRag,,"experiment, Problem 1: n = 358; Problem 2: n = 431 ; Problem 3: n =362; Problem 4: n = 139","1190(GS, November 2022)]​",358 & 431 & 362 & 139
Judgement and Decision Making/Behavioural Economics,Choosing versus rejecting,"Framing effects, compatibility principle). People are inconsistent in their preferences when faced with choosing versus rejecting decision-making scenarios",Choosing versus rejecting: Why some options are both better and worse than others,Shafir 1993,https://link.springer.com/article/10.3758/BF03197186,10.3758/BF03197186,"8 experiments with between-subjects design (i.e., two between-subjects conditions), across 8 studies sample size ranged from 170 to 398","779 (GS, July 2022)]​",
Judgement and Decision Making/Behavioural Economics,Conjunction bias,"conjunction fallacy). The fallacy consists of judging the conjunction of two events as more likely than any of the two specific events, violating one of the most fundamental tenets of probability theory",Do Frequency Representations Eliminate Conjunction Effects? An Exercise in Adversarial Collaboration,Mellers et al. 2001,https://www.jstor.org/stable/40063630,,,,
Judgement and Decision Making/Behavioural Economics,Direct versus indirect harm,"Individuals believe that causing indirect harm is more moral than direct harm, regardless of outcomes, intentions, or self-presentational concern",The Preference for Indirect Harm,Rozyman and Baron 2002,https://doi.org/10.1023/A:1019923923537,10.1023/A:1019923923537,"within-subjects, n = 54","223 (GS, January 2023)]​. Three experiments were conducted but Experiment 2 is the key experiment",54
Judgement and Decision Making/Behavioural Economics,Distinction bias,"When evaluating how happy options would make them, people who evaluated the options simultaneously predicted greater happiness for the good options and lower happiness for the bad options, whereas people who evaluated the options separately (i.e., only evaluated one option) showed little difference between the options",Distinction bias: Misprediction and mischoice due to joint,,https://doi.org/10.1037/0022-3514.86.5.680,10.1037/0022-3514.86.5.680,,,
